Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Review of Evolutionary Political Economy,09 July 2020,https://link.springer.com/article/10.1007/s43253-020-00011-6,Towards an evolutionary political economy. Editorial to the inaugural issue of the Review of Evolutionary Political Economy REPE,May 2020,Silvano Cincotti,Wolfram Elsner,Engelbert Stockhammer,Male,Male,Male,Male,"This is the first of two inaugural issues of the Review of Evolutionary Political Economy (REPE), a new peer-reviewed, inter-disciplinary academic journal, initiated by the European Association for Evolutionary Political Economy (EAEPE) and published by one of the leading international academic publishers, Springer Nature. But why a new journal? Is there a potential space for it in the universe of already well-established economic journals? And what could its value-added for the economics community be? The ambition of the journal is to bring together and integrate political economy, evolutionary and institutional economics, agent-based computational economics, and heterodox macroeconomics, and to become a pluralistic forum of excellence in what is emerging as evolutionary political economy. Economics got separated from the social sciences in the late nineteenth century, when its later mainstream turned from “political economy” to “pure economics”, which in turn, led to “neoclassical economics”. A substantial further narrowing of that mainstream took place from the 1970s onwards. With the “New Classical” counterrevolution, the Keynesian-neoclassical truce of the post-war period was ended. This transformed, in particular, the field of macroeconomics. A new mainstream economics was established, based on methodological individualism, particularly “rational expectations”, and the notion of market clearing. “Proper” economics then had to use a particular mathematical modelling, and the models themselves had to be based on “rational” agents. In “New Classical” macroeconomics, a rational-expectations and global-knowledge equilibrium became the reference point of modelling in the form of the dynamic stochastic general equilibrium (DSGE) models. In economics, such reductionism marginalized the different strands of non-mainstream economics. It became more difficult for non-orthodox and epistemologically pluralistic economists to publish in orthodox journals, to win grant funding and get promotion. But it also led to some fragmentation among the non-mainstream scene, where heterodox economists of Marxist, post-Keynesian, institutionalist, socio-economic, feminist, ecological, or neo-Schumpeterian economics developed their own fields, established journals and associations. And several generalist, heterodox and pluralist organizations and networks, EAEPE being prominent among them, emerged in order to facilitate discussion, interaction and potential convergence among the disparate heterodox streams. REPE now has been founded on the conviction that the fragmentation of the heterodox economic perspectives and the separation of “economics” and “political economy” is a severe impediment to progress in economic research and relevant insight for our societies. Below, we will briefly give an outline of some research orientations in the different fields to be covered by REPE, before we will discuss what we see as the particular role and value-added of this journal. The ambition of Evolutionary Economics in general is to interpret change and to observe the development (or history) of socio-economic systems, either by a formal dynamic system or by its qualitative reconstruction (or by both). Evolutionary approaches, paradigms, or theories integrate bounded rationality in dealing with complex problems, radical uncertainty, search, knowledge acquisition, and learning (Dosi and Winter 2003: 286). They receive inspiration from biology and biological analogies, but also from other natural sciences with their complex dynamic approaches and network modelling, such as physics or neuroscience. Those insights have entailed a renewal in the economics discipline and a new broad interdisciplinary cooperation. Most heterodoxies in economics, among them are neo-Schumpeterian, Veblenian, radical, post-Keynesian, or Hayekian, interpret evolutionary dynamics in the context of socially learned and interactively acquired social rules and institutions, as coordination, cooperation, orientation, and complexity-reducing devices, and as interim social “solutions”, or transient “attractors” in complex dynamics, but also possibly as dysfunctional, “petrified” structures preventing favourable change, impeding innovation, or causing petrifactions of systems (e.g. Dopfer and Potts 2004; Witt 2008; Elsner 2017a; Dosi et al. 2019). Such approaches rest upon a relatively recent transdisciplinary scientific corpus, characterized by a diversity of methods in addressing change, innovation, process, slower or faster transitions, and institutional and organizational solutions with shorter or longer, useful, or hindering states of systems. In these approaches, there can be no unique and globally optimal way of doing things, but agents and organizations have to adhere to social institutions, habits, routines, or norms, which lead to systemic path dependence (e.g. Becker et al. 2005). Evolutionary approaches have not been completely standardized yet as to their methods, giving rise to a profusion of answers to address the questions of dynamics, process, history, novelty, or disruption. But among key findings of evolutionary economics are explanations showing why the “optimal” technology may not be realized (e.g. David 1985), why learning, adaptation, and building absorptive capacities are critical for technology diffusion, and how, once a technology is adopted, path dependency occurs, reinforcing prior choices (e.g. Cowan 1990). This was formally depicted first in W.B. Arthur’s famous model of competing technologies (Arthur 1989). Related applied evolutionary insights gained considerable impact on contemporary research and innovation policies, namely, in the EU. Industrial and organizational economics, the evolution of demand and consumption, questions of the natural environment, or the natural commons, including the global climate, and the transformations of the capitalist system, all were substantially broadened by evolutionary approaches. While neo-Schumpeterian evolutionary theory relies upon a positive vision of innovation, a vector of growth and progress taken as a whole (e.g. Dosi and Grazzi 2006; Dosi et al. 2019), Veblenian evolutionary-institutional perspectives also focus on “ceremonial” degenerations, obstruction, distortion, or negative externalities of technologically innovative potentials (e.g. Elsner 2020). The evolution of demand and consumption, analyzed already by Veblen, was further developed more recently, for instance based on work by U. Witt and others (e.g. Witt 2003, 2008; Lazaric et al. 2019). An evolutionary economics of consumption and demand scrutinizes preferences and values, which is symptomatic of evolutionary research responding to contemporary problems (e.g. Buensdorf and Cordes 2008; Cordes and Schwesinger 2014). This includes research within interdisciplinary so-called naturalistic perspectives, for instance on learning and transmission processes of new behaviour, such as in consumption qualified as “green”. Work along these lines also makes evident the pertinence of environmental questions, which may become the new battle horse of evolutionary-institutional approaches as much as innovation and consumption, all in both research and policy (e.g. Maréchal and Lazaric 2010; Brouillat and Oltra 2012). With respect to innovation, the long-standing lack of a critical stance towards innovation, failures to link innovation to social inclusiveness and ecological sustainability, and the reluctance to think about innovation in terms of governance and ownership have motivated the ambitions of the present journal. And there is much out already, where we can build upon (e.g. Metcalfe et al. 2005; Gifford and McKelvey 2019; Savona and Tommaso 2019). While the evolutionary approach in a neo-Schumpeterian perspective focuses on innovation under the dialectic of destruction and creation and its different performances under more competitive versus oligopolistic and corporate conditions, the evolutionary-institutional approach in the Veblenian perspective (i.e. original institutional economics) focuses on the potentially different characters of social institutions as either problem-solving (“instrumental”) or differential status and power preserving (“ceremonial”) devices. And while neo-Schumpeterian economics has become leading in industrial economics, its ecologies, dynamics and evolution, and in research and innovation policies, the Veblenian neo-institutionalist “institutional dichotomy” has facilitated an operational and value-aware theory of “progressive” versus “regressive” institutional change to explain typical ongoing processes in contemporary capitalist socio-economies. Both evolutionary perspectives have considerably been further developed since the 1960s and 1970s into fruitful applied, applicable, empirically, and policy-wise accessible research programmes. So, while neo-Schumpeterian economics has become the main paradigm shaping modern research and innovation policies, institutionalism, formerly looked at as “just historical” or “just sociological” by mainstream economists, had not only shaped US legal systems and social policies in the 1920s and 1930s but also, with a strong epistemological value-awareness, developed a policy paradigm of a “negotiated”, socially problem-solving economy, based on its elaborated “instrumental value principles”. And both variants of evolutionary economics today also are deeply involved in “hetecon” discourses with political economy, post-Keynesianism, international political economy, or complexity economics, where potential convergences and complementarities are being fathomed (e.g. Elsner 2013, 2017b). Their policy conceptions do benefit from cooperation with political economy, the policy orientations of post-Keynesian economics and the field of International Political Economy, as well as their comprehensions of systems are benefiting from modern complexity sciences. Besides the research in each of these fields, it is this structured interaction processes, discovering differences, complementarities, and convergences that will take place in REPE and guide its discourses and its pluralistic heterodox editorial policy. The science of complexity studies phenomena, which emerge from a collection of interacting entities and which cannot be understood by considering them as separate units. In this sense, the holistic approach does not exclude a reductionist theory, but states that the aggregate can possess emerging properties that are different and complex with respect to the mere superposition of elementary objects. Complexity was proposed in the 1970s as counter paradigm to the reductionist methods in natural sciences (e.g. Anderson 1972), but already in 1959 and 1962, H.A. Simon prompted out the necessity of a holistic approach to the study of the economy, and in 1969, T.C. Schelling took up Simon’s lesson with a study on segregation that led to first real applications of complexity sciences to social systems, with surprising, counterintuitive results. Since Simon’s and Schelling’s seminal works, the complexity approach has allowed to explain aggregate and emerging statistical regularities as well as both intuitive and counter-intuitive relationships in the economy, outcomes of the interaction of heterogeneous, and bounded-rational agents in either multiple equilibria or disequilibrium conditions of imperfect decentralized systems (markets) (e.g. Kirman 1992). Complexity economics offered the opportunity to address questions that cannot be tackled by means of representative and perfectly rational agents in general-equilibrium conditions, whereas realistic explanations involve notions of heterogeneity, adaptive expectations, social collective intelligence and self-fulfilling or self-destroying properties, interactions, contagion, networks, etc. Complexity economics is the answer to the needs of understanding all that, and it is nowadays the scientific area embracing all methodologies and applications of complexity sciences to economics, ranging from agent-based approaches (e.g. Arthur et al. 1997; Raberto et al. 2001; Delli Gatti et al. 2005; Le Baron 2006; Buchanan 2009; Cincotti et al. 2010; Farmer et al. 2012; Dosi and Roventini 2019) to networks (Battiston et al. 2007; Delli Gatti et al. 2010; Battiston et al. 2016), all in the general framework of non-linear dynamical complex systems (e.g. Arrow 1994; Arthur 1999; Beinhocker 2006; Helbing and Kirman 2013). This also offers the opportunity to represent, analyze, and study economic and financial systems as complex adaptive systems and to translate them into artificial economies gathering insights and outcomes from different heterodox economic approaches (e.g. innovation, endogenous money, or financial acceleration) and taking fruitful inspiration and positive feedbacks from other disciplines (e.g. mathematics, physics, engineering, biology, or computer science) in a creative and valuable inter- and multidisciplinary context. Post-Keynesian economics is an important heterodox macroeconomic theory that emphasizes demand-led growth, involuntary unemployment, and issues of financial instability (e.g. Lavoie 2009; Palley 1996; King 2002; Hein 2017). It builds on the radical insights of J.M. Keynes, in particular the concept of fundamental uncertainty, which implies that people cannot act in globally rational form and will resort to behavioural rules, which are often stabilized by social institutions and norms. This has important implications for the theory of money demand (liquidity preference), financial stability (the possibility of herding), and for investment dynamics, where non-rational elements, Keynes’ “animal spirits”, play an important role. Post-Keynesian economics’ initial project was to develop Keynes’ macroeconomic theory, which had a short-term focus, into a growth theory (Robinson 1956; Kaldor 1956, 1957; Kalecki 1965) and to critique neoclassical theory of production and distribution (Cambridge capital controversies, e.g. Harcourt 1969; Moss 1980). It is based on a class-analytic approach and conventional, real-world behaviour rather than methodological individualism. Also post-Keynesian economics formed into a distinct school of thought with its own journals and networks in the 1970s. Since then, it has developed theories of endogenous money creation (e.g. Moore, Lavoie), financial instability, and endogenous financial cycles (e.g. Minsky 1986; Palley 1994; Ryoo 2016; Nikolaidi and Stockhammer 2017 as a survey), demand regimes and growth models (e.g. Bhaduri and Marglin 1990; Lavoie and Stockhammer 2013), and stock-flow consistent modelling (Godley and Lavoie 2007). There is also a closely related stream of Latin American structuralism, which analyzes the growth conditions and constraints in developing countries (e.g. Cimoli and Porcile 2014). Post-Keynesians have commented extensively economic policy making (e.g. Hein 2013; Stockhammer and Onaran 2013; Palley 2015), in particular questions of fiscal and monetary policy, critiqued austerity policies, and highlighted the danger of rising debt ratios for financial stability. Post-Keynesian economics has established itself as an alternative to mainstream macroeconomic theory addressing questions of demand formation, economic growth, distribution, and financial instability. Compared with other heterodox approaches, post-Keynesian economics has paid less attention to modelling individual behaviour, but there are several areas of ongoing cooperation and intellectual cross fertilization with other heterodox approaches. As of yet, these are often limited to specific niches. For example, there is a recent wave of papers to integrate non-mainstream macroeconomics more systematically into ecological economics, and climate-change models in particular (e.g. Dafermos et al. 2017). There is also an exciting intersection of agent-based modelling and post-Keynesian economics (e.g. Caiani et al. 2016; Dosi et al. 2010); and there is a growing interest in the field of comparative political economy in the post-Keynesian analysis of demand regimes and growth models (e.g. Baccaro and Pontusson 2016; Schwartz and Tranoy 2019). It is for such boundary-crossing research that REPE will be a forum. Although it has long historical roots in moral philosophy and political economy, the contemporary discipline of International Political Economy (IPE) would re-emerge only in the late 1960s and 1970s at the intersection of international economics and international relations. At the time of the global ascent of market-centred ideologies and policies, some economists, as well as other social scientists, became dissatisfied with the lack of attention paid to of power relations in traditional economics. The analysis of power, in its multiple facets, had been central to political science and the study of international relations. The latter, in turn, traditionally focused on the analysis of monetary factors and trade regimes in shaping international economic diplomacy. While the founders of IPE included economists as well as political scientists, today the discipline is typically hosted in international relations and political science departments. At present, IPE is divided by the so-called Atlantic divide (Cohen 2007). The American tradition of IPE has evolved by adopting the methods of neoclassical economics to the study of international trade diplomacy. As a result, American IPE today is dominated by quantitative methodologies and is defined by the focus on one main puzzle: Namely, if free markets are optimal allocators of scarce resources, how come that governments around the world continue to adhere to protectionism? Addressing this puzzle, American IPE employs, for instance, the method of two-level game theory, modelling the response of international economic agents against the context of (1) international and (2) domestic constituencies. On the other side of the Atlantic divide, IPE has much stronger roots in classical political economy and history of economic thought, especially its Marxist tradition. This particular stream of scholarship remains prominent in the UK and continental Europe, where historically IPE has drawn on the French School of Regulation. The main themes for IPE in Europe have been globalization, neoliberalism, and the changing world order. There is a third school of thought, somewhat less widely known, that informs IPE scholarship today. It goes back to the tradition of Original Institutional Economics (OIE), the above-mentioned evolutionary-institutional economics (or institutionalism), and the works of T.B. Veblen, J.R. Commons, A.A. Berle, and others. Its key focus has been twofold: On the one hand, it is the understanding of the structure and nature of wealth and capital; on the other, it is the relationship between individual and aggregate forms of organization and behaviour in capitalism. Although somewhat interrupted in its development by the ascent of quantitative approaches in mid-twentieth century, such evolutionary IPE has been given a boost by the 2007–2009 crisis. From around that time, it has been developing through a close dialogue between institutional economics, political economy, economic sociology, and law. In this process, the focus on uncertainty and expectations, historically central to post-Keynesian thought, has been advanced also by insights from OIE. Today, the essence of this approach is best captured by what Perry Mehrling called the “finance view” of the economy, which focuses on the present valuations of capital assets, seeing them as entirely dependent on imagined future cash flows, projected back into the present (Mehrling 2011: 4). It is against this background that the discipline of IPE can particularly benefit from this new journal, REPE, focusing on inter-disciplinary research in evolutionary political economy. It seems to become increasingly clear that today’s economic institutions and structures are defined by expectations of change and valuations of the future. It also appears to be increasingly clear that big political-economic issues of today and tomorrow are likely to centre not on isolated or individual problems and crises, but on complex, systemic phenomena and processes. REPE is intended as an outlet that can inform the emergent evolutionary strand in IPE and related disciplines. The articles that comprise the inaugural issues should initiate discussions about the ways such discourses may develop. Evolutionary economics, institutionalist economics, complexity theory, post-Keynesian economics, and International Political Economy, all have important developed alternative perspectives to current mainstream economics. They all share a rejection of the rational-agent methodological individualism and of simple market clearing. Instead, they advocate an understanding of human behaviour as shaped by social institutions and conventions, of decentralized (“market”) processes as prone to evolutionary dynamics that may lead to socially undesirable results and give rise to fallacies of composition. Thus, we think that the various non-mainstream approaches in economics and the social sciences already share some common ontological, theoretical, and policy-oriented ground, but they have developed in different fields and have built their own niches. We think it is important to build more bridges between these and also other heterodox approaches (like feminist or ecological economics) to support the works towards comprehensive alternative visions of economics that could at some point absorb and replace the orthodox economic mainstream in research, applications, advice, policy-making, teaching, and textbook writing. While initiated by EAEPE, REPE is organizationally independent as an academic journal and will be strictly international globally, both in its published articles and its personnel and governance (Editorial team, Associate Editors, and International Advisory Board). EAEPE severely discussed the question of founding a new journal for several years. It considered that there are already a number of excellent heterodox and pluralist journals existing. There are well-established journals for evolutionary economics, institutional economics, political economy, post-Keynesian macroeconomics, complexity economics, and International Political Economy, furthermore, for innovation or history of economic thought, in Schumpeterian, Marxian, social-economic, institutionalist, Austrian, feminist, ecological, and other critical perspectives. There are also journals, both of a heterodox-pluralist and mainstream self-image, that cover cutting-edge methodologies, complex systems, networks, or computational approaches. But the editorial team of REPE, EAEPE, and Springer did identify a space indeed for a new pluralist-heterodox journal, which relates cutting-edge evolutionary and complex systems with institutional analysis, critical political economy, heterodox macroeconomics, computational methods, and interdisciplinarity, in a number of applied fields, from innovation, networks, distribution, or social class to climate change, with topicality and critical policy relevance, wherever possible. For this, as our Aims&Scope and Call for Papers clarify, we invite high-quality and cutting-edge conceptual and review articles, theoretical, methodological, empirical, and computational research from the fields and cross-fields mentioned. Submitted papers should embrace the heterogeneity of economic agents and interactions as complexified by power, institutions, or environmental conditions. Papers might explore the origins and impact of economic crises, inequality and unemployment, the changing role of finance and financial instability, the digital transformation, artificial intelligence, the socio-economic facets of environmental degradation, and climate change, up to most topical issues of economic impacts of epidemics. Articles that advance novel interdisciplinary analyses of complex systems, embrace social, natural, behavioural, and computer sciences or draw on humanities and cultural theories are highly welcome. As a key purpose of REPE is to bring together different heterodox contributions, as sketched above, we will also rely on symposia (with 3–4 papers) and special issues (with 6–7 papers) on topical themes or themes that cut across conventional themes and disciplines and relate in some way to what may emerge as evolutionary political economy. Ideas and proposals from potential guest-editors are invited. Brief instructions are to be found on REPE’s website:https://www.springer.com/journal/43253. Each author will assign his/her paper to one of the major fields given by the Editorial Manager system when submitting. This should not be a restriction to the author but an assistance for quickly assigning the handling editor and reviewers. Finally, to be successful, this journal needs support and critical feedback from critical scholars, including those beyond EAEPE. The editorial team always welcomes comments on REPE’s agenda and issues. Against the background outlined, for the inaugural issues, we invited some of the leading figures in evolutionary political economy to reflect the status and future of what is, what could, and will be a research programme of evolutionary political economy. It turned out that we will be able to present to the scholarly public two inaugural issues, the present one and the next one, issue 2–2020, which will appear in Fall. Smita Srinivas’ article “Development, Institutional Variety, and the Future of Economics” explains the importance for development economics of diverse ontological assumptions about the nature and content of development for understanding and tackling institutional variety. The differences notably matter for understanding technological and social capabilities. Using four cases drawn from the author’s research, this article highlights diverse conceptual frameworks for institutional variety. Such variety matters for economic development, and it is critical to understand local conditions and history of such variety. Indeed, industrialization is a process of institutional change, where social capabilities provide direction and guidelines for development goals and institutional transformation. By scrutinizing the process of inference during the building of capabilities, evolutionary political economy may improve the understanding of the emergence of that institutional variety and its outcomes within and across countries. In “The past, present and future of evolutionary macroeconomics”,Malcolm Sawyer argues that heterodox macroeconomics contains many features of evolutionary political economy. It highlights social conflict and potential instabilities of monetary production economies in a world of fundamental uncertainty. Heterodox macroeconomics thus features reoccurring crises, distributional conflict, and gives rise to a path-dependent growth process. Sawyer particularly discusses three frontiers of heterodox macroeconomics that in the past have received limited attention: ecological issues and climate change, gender, and heterogeneous-agent modelling. Overall, he concludes that heterodox macroeconomics is part of evolutionary political economy that analyzes monetary production economies. In “Gender and the Future of Macroeconomics: an evolutionary approach”, Sheila Dow argues that gender lends itself well to an evolutionary analysis which focuses on non-equilibrium change and transformation for individuals within society. Decomposition by this important category, gender, helps us to understand the economy at the macro level, and design macroeconomic policy better. It also provides the foundation for advocating equal gender rights and outcomes. In contrast, in mainstream macroeconomics, gender issues can only be partially analysed due to its requirement of “microfoundations”, its focus on GDP growth, and its explanation of suboptimal outcomes as due to market imperfections only. An approach which takes gender seriously requires the different epistemology that arises from feminism: It does not rely on dualistic categorisations, but builds on the idea of situated knowledge, which in turn requires a pluralist methodology and an acceptance of fundamental uncertainty. Such a methodology allows for emergent identity, for the cognitive roles of emotion and social convention, and for attention to power relations beyond market power. John Davis’ paper “Belief reversals as phase transitions and economic fragility: A complexity theory of financial cycles with reflexive agents” contributes to the analysis of expectations and belief reversals in an evolutionary and complexity economics framework. It formulates its analysis in terms of the concept of reflexivity, drawing on ideas on reflexivity in financial markets of G. Soros. It lays out a model of how a financial cycle expresses a systematic pattern of interacting feedback effects. The paper develops this analysis as a complex interaction between sets of heterogeneous expectations derived from the behaviour of reflexive economic agents. A central role is played by agents’ beliefs and judgments underlying their expectations, and how those beliefs and judgments in uncertain circumstances are changeable and subject to abrupt reversals, which can manifest themselves in “Minsky moments”. Agents’ belief reversals may follow their misconceptions about causal processes in booms and upswings, and such misconceptions will reflect their tendency to think causally in terms of negative feedback patterns rather than positive ones. In “Was Hyman Minsky a post-Keynesian economist?”,Marc Lavoie discusses key features, and strengths and weaknesses, of Minsky’s financial instability hypothesis, which became popular in the aftermath of the failure of Lehman Brothers despite having been ignored by mainstream economists until then. Minsky is an interesting case as he has been important within post-Keynesian theory, but was a student of Schumpeter’s. His analysis of financial innovation and endogenous financial crisis has institutionalist and evolutionary features, while the core of his macroeconomics, including endogenous money creation via credit, and the principle of effective demand have clearly Keynesian features. While Colander, Holt and Rosser (2010), and Davidson (2003–4) have questioned whether Minsky can be classified, Lavoie concludes that indeed Minsky clearly stood in the post-Keynesian camp. Frank Beckenbach’s article, “A value-theoretic approach to economic dynamics and evolution – Synthesizing different Marxian modules in a simulation model. Part I: Foundations”, has a twofold background as follows: first, the ongoing debate about whether the Marxian theory of value has been damaged (or even destroyed) by the alleged impossibility of solving the “transformation problem” and secondly, the fact that almost all of the (later) economic manuscripts of Marx are now accessible due to the MEGA project. In regard to the former, it can be concluded that the rationale of the Marxian value concept is distorted by its Ricardian elements (including the labour theory of value). In regard to the latter, the later economic manuscripts as well as the few economic monographs published during Marx’s lifetime indicate that Marx was figuring out different modules for his value theory which are not thoroughly synthesized with each other. An attempt is made to reformulate this contested and fragmented value theoretic torso by focussing on the non-Ricardian essentials of the value theory. This (de-)construction is then used as a basis for linking the different value-theoretic modules in terms of their ability to explain economic evolution. In addition to a conceptual discussion of the value-theoretic modules, a simulation model is suggested for their integration. It can be shown that the value theory can be substantiated in a consistent stepwise fashion and the conditions for generating the long-term results expected by Marx can be specified. As said, issue 2 will provide the second part of our two inaugural issues and will appear after the summer break with more papers on the future of the fields of evolutionary political economy by prominent authors (P. Arestis, F. Beckenbach, L. Chester, K. Dopfer, M. Lavoie, R. Palan, J. Toporowski, U. Witt). Enjoy reading REPE!",3
1.0,1.0,Review of Evolutionary Political Economy,16 June 2020,https://link.springer.com/article/10.1007/s43253-020-00010-7,Institutional variety and the future of economics,May 2020,Smita Srinivas,,,Female,Unknown,Unknown,Female,"Despite substantial debate and dissent, the process of development in economics is seen with some considerable consensus as one of institutional change, especially the change of dominant institutions such as markets. Economic historians and economic development scholars, however, have recognized that development involves phenomena which may not be easily recognizable within existing conceptual frameworks nor reconciled into empirical patterns or policy clarity that can be easily extended from already industrialized economies. For example, the process of industrial development, and with it the wide and varied attempts by firms and states of technological learning and innovation, reveals considerable institutional variety. Implicit in the policy advice is recognizing some institutional variation, yet viewing the transformation of economies as processes of inevitable institutional convergence or of dominant institutions such as markets becoming more “perfect.” In this sense, development economics has been an arena of considerable dissent about the microeconomic assumptions of institutional change and the narrow reading of markets. Furthermore, policy advice from development agencies can push countries to mimic those of industrialized economies from several decades earlier, such as South Korea, or suggest to democracies that authoritarian transitions may be copied. The stakes are high for countries to manage their institutional change process, but also for economics to justify how it infers such change from situations where considerable variety exists. This paper provides a preliminary conceptual approach by asking how one might reconcile different theoretical frameworks about institutional variety under the umbrella of evolutionary political economy (EPE). What inferences can be drawn from the phenomena of variety of institutions such as markets and firms? Development economics is a study of phenomena dependent on inferences about institutional variety and its consequences for technological capabilities and development. Using four brief composite cases drawing from the author’s development research, the paper focuses on the conceptual frameworks and taxonomy of inference and judgment in economics. How, why, and what scholars differently infer from the phenomena of institutional variety matters to economics and to theories and policies of technological capabilities, especially for learning and innovation in industrial advance. The paper lays out the argument that more systematic treatment within evolutionary political economy, across frameworks for innovation and learning, can advance the field of development and economics. The next section outlines in more detail the scientific process of economics, the potential advantages of drawing from alternate systems of inference such as the Nyaya school that well predates Cartesian thinking and the opportunity presented by revealing such assumptions of inference and judgment in evolutionary political economy (EPE). Section 3 then details the specific intra-paradigmatic conceptual context of institutional variety. The example used is the study of technological learning and innovation literature regarding economic development in “late” industrial nations. Section 4 presents four brief cases to further a taxonomy of intra-paradigmatic challenges in the evolutionary political economy tradition. Section 5 derives from the four development cases to discuss potential benefits of EPE for economics’ advance.",8
1.0,1.0,Review of Evolutionary Political Economy,11 March 2020,https://link.springer.com/article/10.1007/s43253-020-00003-6,"The past, present and future of evolutionary macroeconomics",May 2020,Malcolm Sawyer,,,Male,Unknown,Unknown,Male,"This paper discusses the roles and natures of heterodox macroeconomics analysis and the challenges which it faces as a contribution to the symposium on ‘evolutionary political economy – state of the art and future’. I view ‘heterodox macroeconomics’ (briefly defined below) as contributing to evolutionary political economy and argue that heterodox macroeconomics analysis contains many features of evolutionary political economy. The boundaries of any school of thought or body of analysis are often to define with precision. In the case of heterodox macroeconomics, I align that with the bodies of analysis which are broadly post Keynesian and Kaleckian macroeconomics.Footnote 1 Heterodox macroeconomics is itself viewed as part of heterodox economics which is ‘a study of production and distribution of economic surplus, including the role of power relations in determining economic relationships, a study of economic systems, and tendencies associated with it, and the employment of theories that have these issues at their core, such as Classical Political Economy, Marxian Economics, Feminist Economics, Institutional Economics, and Keynesian Economics’.Footnote 2 In Sawyer (2009a), I placed heterodox macroeconomics analysis as relating to a monetary capitalist economy in which the monetary and financial sectors play central roles. Further, ‘the decision making of individuals and firms, the interactions of those decisions and the evolution of the economy have to be analysed in the context of fundamental uncertainty (in the sense of Keynes) where the future is unknown and unknowable, and the evolution of the economy must depend on the collective decisions which are made.’ (Sawyer 2009a, p. 25). Heterodox macroeconomic analysis stands in sharp contrast with what may be termed the mainstream macroeconomic analysis, in particular, the dynamic stochastic general equilibrium (DSGE) models and ‘new consensus in macroeconomics’ (NCM).Footnote 3 From the perspective of evolutionary economics in general, the DSGE has shortcomings from its use of infinite time horizon constrained utility optimisation (hence denying role of fundamental uncertainty, and bounded rationality) and invoking the representative agent (thereby dismissing issue of aggregation, inequality and income distribution). The central features of heterodox macroeconomics can be viewed in following termsFootnote 4: The level of aggregate demand is always important for the level of economic activity, in the long run as well as the short-run. In order to be effective, demand has to be financed by the creation and possession of money. The analysis necessarily concerns a monetary production economy. Money is created by banks (commercial and central) and destroyed, and an ‘endogenous money’ approach has been closely associated with heterodox macroeconomics. In a monetary production economy, there is no possibility of the separation between the ‘real’ and the ‘monetary’ as envisaged in the ‘classical dichotomy’. The key and dual roles played by investment as a relative volatile component of aggregate demand and the driving force in the savings-investment relationship, and as involving the creation of productive potential and capacity The functional distribution of income comes within the macroeconomic analysis, and that the distribution of income impacts on the level of demand. In the recent literature, this has been closely reflected in the debates as to whether an economy is wage led or profit led. The interdependences of the conditions of (aggregate) demand and the supply potential of an economy. There are clear relationships, and a notable example is that of investment as a component of aggregate demand and as adding to productive capacity. Particular important features are those of hysteresis and path dependency as will be further discussed. Prices are set in many different ways varying depending on market power of firms and their objectives. Similarly, wages are determined in different ways depending on the structures of collective bargaining, the industrial relations frameworks etc. In general, prices and wages are not set in what may be termed a competitive market situation. A heterodox approach to inflation (which we labelled a structuralist approach, Arestis and Sawyer 2005) concentrates on three key elements in the inflationary process. One set of inflationary pressures comes from the level of demand relative to the size of productive capacity. There is no presumption that there is adequate capacity in an economy to support the full employment of labour, and hence, enterprises may be operating at or even above normal capacity with substantial levels of unemployment. A second and related set of inflationary pressures comes from the inherent conflict over the distribution of income. The ability of the economy to reconcile the conflict depends, inter alia, on the productive capacity of the economy. National economies are open to the rest of the world to varying extent and ways. Current account deficits and constraints on borrowing from abroad may serve to limit economic activity and growth in a country (as in the notion of balance of payments constrained growth). Exchange rates are set in a range of ways but strongly influenced by capital movements and generally subject to high degree of fluctuations with the extent of foreign exchange trading greatly in excess of the requirements for trade in goods and services. Capitalist economies are subject to fluctuations, cycles and crisis. Heterodox macroeconomics views cycles and crisis as inherent in capitalist economy and not ascribable to random factors (as would be the case in real business cycle analysis). Heterodox macroeconomics comes with many insights into the generation of cycles and crises, which are often analysed separately but are not in general inconsistent. Fluctuations in aggregate demand driven by investment (as in investment-accelerator type models) and class and income distribution struggle (as in Goodwin (1967, 1990) cycles) feature strongly. In a financialised economy, the issue of money and credit is a necessary component of fluctuations in economic activity, and further instabilities of the financial system become significant factors in the business cycle (Minsky 1982, cycles). Capitalist economies are prone to unemployment and underemployment of labour, and cycles and government policies (fiscal and monetary) can have a role in addressing unemployment and cycles. There are political and social constraints on the willingness of governments to use policies in this manner (Kalecki 1943). This paper proceeds as follows. In the next section (Section 2), I discuss the relationships in general terms between micro-, meso- and macroeconomics, specifically the nation state orientation of what is termed macroeconomics, and relate them to the analysis of a monetary production economy. In Section 3, it is noted that ideas on fundamental uncertainty have been (at least implicitly with the rejection of the probability distribution risk approach) a key component of heterodox macroeconomics and outline the implications of that in terms of decision-making and path dependency. Section 4 has remarks on how organisation and institutions are approached in heterodox macroeconomics. Section 5 focuses on the heterodox approaches to finance and money. Heterodox macroeconomics (in its post Keynesian, Kaleckian forms) has focused on the demand side of the economy. In Sections 6 and 7, I draw attention to two areas where heterodox macroeconomic analysis has historically ignored though the last decade or so has seen developments. In Section 6, it is environmental considerations which are examined, and in Section 7 gender. Section 8 makes some remarks on recent modelling techniques and their value in heterodox macroeconomics analysis.",3
