Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Review of Industrial Organization,,https://link.springer.com/article/10.1007/BF02354131,Changes in market concentration of manufacturing industries,March 1984,Willard F. Mueller,Richard T. Rogers,,Male,Male,Unknown,Male,,20
1.0,1.0,Review of Industrial Organization,,https://link.springer.com/article/10.1007/BF02354132,"Collusion, entry, and market shares",March 1984,John P. Formby,W. James Smith,,Male,Unknown,Unknown,Male,,1
1.0,1.0,Review of Industrial Organization,,https://link.springer.com/article/10.1007/BF02354133,The new merger guidelines of the department of justice,March 1984,Lucile S. Keyes,,,Female,Unknown,Unknown,Female,,2
1.0,1.0,Review of Industrial Organization,,https://link.springer.com/article/10.1007/BF02354134,"Size, efficiency, and fortune nagazine",March 1984,Douglas F. Greer,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Review of Industrial Organization,,https://link.springer.com/article/10.1007/BF02354135,An examination of industry exit patterns,March 1984,Larry L. Duetsch,,,Male,Unknown,Unknown,Male,,10
1.0,1.0,Review of Industrial Organization,,https://link.springer.com/article/10.1007/BF02354136,Neglected elements in vertical integration analysis: The case of retail price preticketing,March 1984,Stanley E. Boyle,Michael J. Piette,,Male,Male,Unknown,Male,,
1.0,1.0,Review of Industrial Organization,,https://link.springer.com/article/10.1007/BF02354137,P. David Qualls,March 1984,Joe S. Bain,,,Male,Unknown,Unknown,Male,,
1.0,2.0,Review of Industrial Organization,,https://link.springer.com/article/10.1007/BF02354345,Merger statistics and merger policy,June 1984,Druce T. Allen,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Review of Industrial Organization,,https://link.springer.com/article/10.1007/BF02354346,The impact of government purchases on market performance in Australia,June 1984,David K. Round,,,Male,Unknown,Unknown,Male,,
1.0,2.0,Review of Industrial Organization,,https://link.springer.com/article/10.1007/BF02354347,Testing the interaction between concentration and barriers to entry,June 1984,Stephen Martin,,,Male,Unknown,Unknown,Male,,3
1.0,2.0,Review of Industrial Organization,,https://link.springer.com/article/10.1007/BF02354348,Conglomerate mergers and subsequent industry effects,June 1984,Robert M. Feinberg,,,Male,Unknown,Unknown,Male,,1
1.0,2.0,Review of Industrial Organization,,https://link.springer.com/article/10.1007/BF02354349,Crossownership and media concentration,June 1984,Allen Parkman,,,Male,Unknown,Unknown,Male,,1
