Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
27,1,Review of Regional Research,30 August 2006,https://link.springer.com/article/10.1007/s10037-006-0006-z,"Sozioökonomische Input-Output-Tabellen für Deutschland in zeitlicher, monetärer und räumlicher
   Dimension",February 2007,Axel Schaffer,,,Male,Unknown,Unknown,Male,,2
27,1,Review of Regional Research,30 August 2006,https://link.springer.com/article/10.1007/s10037-006-0007-y,Regionale Entwicklung mit und ohne räumliche Spillover-Effekte,February 2007,Hans-Friedrich Eckey,Reinhold Kosfeld,Matthias Türck,Unknown,Male,Male,Male,,13
27,1,Review of Regional Research,19 January 2007,https://link.springer.com/article/10.1007/s10037-006-0010-3,"Analysis of Location of Large-area Shopping Centres. A Probabilistic Gravity Model for the Halle–Leipzig
   Area",February 2007,Alexander Kubis,Maria Hartmann,,Male,Female,Unknown,Mix,,
27,1,Review of Regional Research,18 January 2007,https://link.springer.com/article/10.1007/s10037-006-0011-2,The Influence of Cumulative Causation Process on Regional Divergence in Lithuania during 1995–2003,February 2007,Diana Cibulskienė,Mindaugas Butkus,,Female,Male,Unknown,Mix,,
27,1,Review of Regional Research,18 January 2007,https://link.springer.com/article/10.1007/s10037-006-0012-1,Eine spieltheoretische Analyse des Länderfinanzausgleichs in der Bundesrepublik Deutschland,February 2007,Reiner Wolff,,,Male,Unknown,Unknown,Male,,
27,2,Review of Regional Research,06 April 2007,https://link.springer.com/article/10.1007/s10037-007-0013-8,Empirical Examination of the Gravity Model in two Different Contexts: Estimation and Explanation,August 2007,Ana Lúcia Marto Sargento,,,Female,Unknown,Unknown,Female,,5
27,2,Review of Regional Research,02 June 2007,https://link.springer.com/article/10.1007/s10037-007-0015-6,Economies of vertical integration in the Japanese water supply industry,August 2007,Takuya Urakami,,,Male,Unknown,Unknown,Male,,13
27,2,Review of Regional Research,21 June 2007,https://link.springer.com/article/10.1007/s10037-007-0017-4,"Innovationen, Beschäftigungsstruktur und Wachstum der totalen Faktorproduktivität",August 2007,Andre Jungmittag,,,Male,Unknown,Unknown,Male,,
27,2,Review of Regional Research,10 August 2007,https://link.springer.com/article/10.1007/s10037-007-0018-3,The Interregional and Intertemporal Allocation of EU Producer Support: Magnitude and Determinants,August 2007,Sven Anders,Johannes Harsche,Ramona Teuber,Male,Male,Female,Mix,,
27,2,Review of Regional Research,01 May 2007,https://link.springer.com/article/10.1007/s10037-007-0014-7,"Scheuplein, Christoph: Der Raum der Produktion – Wirtschaftliche Cluster in der Volkswirtschaftslehre
   des 19. Jahrhunderts",August 2007,Horst Todt,,,Male,Unknown,Unknown,Male,,
27,2,Review of Regional Research,28 June 2007,https://link.springer.com/article/10.1007/s10037-007-0016-5,"Heinz Kleger, André Lomsky, Franz Weigt, Hg.: Von der Agglomeration zur Städteregion. Neue politische
   Denk- und Kooperationsräume",August 2007,Dietrich Fürst,,,Male,Unknown,Unknown,Male,,
28,1,Review of Regional Research,27 November 2007,https://link.springer.com/article/10.1007/s10037-007-0019-2,"Growth versus equalisation? An examination of strategies for regional policy in the Czech Republic, Hungary
   and Poland after EU accession",February 2008,Gerhard Heimpold,,,Male,Unknown,Unknown,Male,,4
28,1,Review of Regional Research,27 November 2007,https://link.springer.com/article/10.1007/s10037-007-0020-9,Location decisions in a changing labour market environment,February 2008,Björn Frank,,,Male,Unknown,Unknown,Male,,
28,1,Review of Regional Research,22 December 2007,https://link.springer.com/article/10.1007/s10037-007-0022-7,New economic geography and regional price level,February 2008,Reinhold Kosfeld,Hans-Friedrich Eckey,Matthias Türck,Male,Unknown,Male,Male,,5
28,1,Review of Regional Research,23 January 2008,https://link.springer.com/article/10.1007/s10037-007-0023-6,Die räumliche Konzentration von Industrie und Dienstleistungen in Deutschland,February 2008,Björn Alecke,Gerhard Untiedt,,Male,Male,Unknown,Male,,6
28,2,Review of Regional Research,29 May 2008,https://link.springer.com/article/10.1007/s10037-008-0024-0,„Den Arbeitsmarkt“ gibt es nicht – Arbeitsmarktregionen des SGB II im Vergleich,September 2008,Felix Rüb,Daniel Werner,,Male,Male,Unknown,Male,,4
28,2,Review of Regional Research,12 July 2008,https://link.springer.com/article/10.1007/s10037-008-0025-z,"Regionale Potentiale – Bedeutung und Nutzung von Potentialfaktoren in den NUTS 3 Regionen Deutschlands
   und Österreichs",September 2008,Axel Schaffer,Jochen Siegele,,Male,Male,Unknown,Male,,3
28,2,Review of Regional Research,19 July 2008,https://link.springer.com/article/10.1007/s10037-008-0026-y,Regional competitiveness in Poland: Creating an index,September 2008,Urszula Bronisz,Wim Heijman,Andrzej Miszczuk,Female,Male,Male,Mix,,
28,2,Review of Regional Research,13 August 2008,https://link.springer.com/article/10.1007/s10037-008-0027-x,Regional disparities in industry location and income: a footloose capital model,September 2008,Camelia Romocea-Turcu,,,Female,Unknown,Unknown,Female,,
29,1,Review of Regional Research,08 January 2009,https://link.springer.com/article/10.1007/s10037-008-0031-1,Geographical distribution of crime in Italian provinces: a spatial econometric analysis,February 2009,Maria Francesca Cracolici,Teodora Erika Uberti,,Female,Female,Unknown,Female,,26
29,1,Review of Regional Research,23 January 2009,https://link.springer.com/article/10.1007/s10037-008-0032-0,"Crime, unemployment, and xenophobia?",February 2009,Martin Steininger,Ralph Rotte,,Male,Male,Unknown,Male,,8
29,1,Review of Regional Research,26 November 2008,https://link.springer.com/article/10.1007/s10037-008-0029-8,"Identifikation von Förderregionen in der “Gemeinschaftsaufgabe” Identification of
   assisted areas in the “Gemeinschaftsaufgabe”",February 2009,Hans-Friedrich Eckey,Reinhold Kosfeld,Matthias Türck,Unknown,Male,Male,Male,,2
29,1,Review of Regional Research,17 December 2008,https://link.springer.com/article/10.1007/s10037-008-0030-2,Das Konzept regionaler Cluster: zwischen Schein und Sein?,February 2009,Martin Wrobel,,,Male,Unknown,Unknown,Male,,3
29,2,Review of Regional Research,20 August 2009,https://link.springer.com/article/10.1007/s10037-009-0033-7,Unterschiede regionaler Wirtschaftskraft – welchen Einfluss hat die Landespolitik?,October 2009,Lorenz Blume,Thomas Döring,,Male,Male,Unknown,Male,,5
29,2,Review of Regional Research,14 August 2009,https://link.springer.com/article/10.1007/s10037-009-0034-6,Konzessionsabgaben und Länderfinanzausgleich,October 2009,Michael Broer,,,Male,Unknown,Unknown,Male,,
29,2,Review of Regional Research,13 October 2009,https://link.springer.com/article/10.1007/s10037-009-0037-3,Cartel identification in spatial markets,October 2009,Ulrich Blum,,,Male,Unknown,Unknown,Male,,2
