Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,SERIEs,20 March 2010,https://link.springer.com/article/10.1007/s13209-010-0022-7,Editorial,March 2010,Víctor Aguirregabiria,,,Male,Unknown,Unknown,Male,,1
1.0,1.0,SERIEs,19 February 2010,https://link.springer.com/article/10.1007/s13209-009-0014-7,The econometrics of DSGE models,March 2010,Jesús Fernández-Villaverde,,,,Unknown,Unknown,Mix,,
1.0,1.0,SERIEs,23 February 2010,https://link.springer.com/article/10.1007/s13209-010-0020-9,DSGE models and their use at the ECB,March 2010,Frank Smets,Kai Christoffel,Massimo Rostagno,Male,Male,Male,Male,,17
1.0,1.0,SERIEs,19 February 2010,https://link.springer.com/article/10.1007/s13209-009-0015-6,Spain in the Euro: a general equilibrium analysis,March 2010,Javier Andrés,Samuel Hurtado,Carlos Thomas,,Male,Male,Mix,,
1.0,1.0,SERIEs,19 February 2010,https://link.springer.com/article/10.1007/s13209-009-0016-5,"Comment on “Spain in the Euro: A General Equilibrium Analysis” by Andrés, Hurtado, Ortega and Thomas",March 2010,Jesús Vázquez,,,,Unknown,Unknown,Mix,,
1.0,1.0,SERIEs,19 February 2010,https://link.springer.com/article/10.1007/s13209-009-0010-y,The drivers of housing cycles in Spain,March 2010,Oriol Aspachs-Bracons,Pau Rabanal,,Male,Male,Unknown,Male,,25
1.0,1.0,SERIEs,19 February 2010,https://link.springer.com/article/10.1007/s13209-010-0019-2,Comments on “The drivers of housing cycles in Spain” by Oriol Aspachs-Bracons and Pau Rabanal,March 2010,Stefano Neri,,,Male,Unknown,Unknown,Male,,1
1.0,1.0,SERIEs,19 February 2010,https://link.springer.com/article/10.1007/s13209-009-0013-8,A rational expectations model for simulation and policy evaluation of the Spanish economy,March 2010,J. E. Boscá,A. Díaz,L. Puch,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,SERIEs,19 February 2010,https://link.springer.com/article/10.1007/s13209-009-0017-4,Discussion of the paper “A rational expectations model for simulation and policy evaluation of the Spanish economy”,March 2010,Javier J. Pérez,,,,Unknown,Unknown,Mix,,
1.0,1.0,SERIEs,23 February 2010,https://link.springer.com/article/10.1007/s13209-009-0011-x,MEDEA: a DSGE model for the Spanish economy,March 2010,Pablo Burriel,Jesús Fernández-Villaverde,Juan F. Rubio-Ramírez,Male,,Male,Mix,,
1.0,1.0,SERIEs,19 February 2010,https://link.springer.com/article/10.1007/s13209-009-0012-9,Commentary on MEDEA: A DSGE model for the Spanish economy,March 2010,Filippo Ferroni,,,Male,Unknown,Unknown,Male,,
2.0,1.0,SERIEs,14 January 2010,https://link.springer.com/article/10.1007/s13209-009-0008-5,Informal care and labour force participation among middle-aged women in Spain,March 2011,David Casado-Marín,Pilar García-Gómez,Ángel López-Nicolás,Male,Female,Male,Mix,,
2.0,1.0,SERIEs,26 May 2010,https://link.springer.com/article/10.1007/s13209-010-0027-2,On the optimal allocation of students when peer effects are at work: tracking vs. mixing,March 2011,Marisa Hidalgo-Hidalgo,,,Female,Unknown,Unknown,Female,,4
2.0,1.0,SERIEs,30 April 2010,https://link.springer.com/article/10.1007/s13209-010-0025-4,Portfolio choice and the effects of liquidity,March 2011,Ana González,Gonzalo Rubio,,Female,Male,Unknown,Mix,,
2.0,1.0,SERIEs,12 October 2010,https://link.springer.com/article/10.1007/s13209-010-0032-5,"Innovation, loyalty and generic competition in pharmaceutical markets",March 2011,Fernando Antoñanzas,Carmelo Juárez-Castelló,Roberto Rodríguez-Ibeas,Male,Male,Male,Male,,3
2.0,1.0,SERIEs,21 January 2010,https://link.springer.com/article/10.1007/s13209-010-0018-3,Short-term monitoring of the Spanish government balance,March 2011,Teresa Leal,Diego J. Pedregal,Javier J. Pérez,Female,Male,,Mix,,
2.0,1.0,SERIEs,18 February 2010,https://link.springer.com/article/10.1007/s13209-009-0003-x,Agency problems with non-smooth decision profiles: the case of monopoly under product quality,March 2011,X. Ruiz del Portal,,,Unknown,Unknown,Unknown,Unknown,,
2.0,2.0,SERIEs,16 June 2011,https://link.springer.com/article/10.1007/s13209-011-0066-3,SEA Presidential address: Group connectivity and cooperation,June 2011,Amparo Urbano,,,Female,Unknown,Unknown,Female,,
2.0,2.0,SERIEs,14 December 2010,https://link.springer.com/article/10.1007/s13209-010-0035-2,With whom to merge? A tale of the Spanish banking deregulation process,June 2011,Ana Lozano-Vivas,Miguel A. Meléndez-Jiménez,Antonio J. Morales,Female,Male,Male,Mix,,
2.0,2.0,SERIEs,01 October 2010,https://link.springer.com/article/10.1007/s13209-010-0031-6,The information content in a volatility index for Spain,June 2011,Maria T. Gonzalez-Perez,Alfonso Novales,,Female,Male,Unknown,Mix,,
2.0,2.0,SERIEs,21 August 2010,https://link.springer.com/article/10.1007/s13209-010-0030-7,Partial price discrimination by an upstream monopolist,June 2011,Lluís Bru,Ramon Faulí-Oller,Joel Sandonís,Unknown,Male,Male,Male,,
2.0,2.0,SERIEs,27 July 2010,https://link.springer.com/article/10.1007/s13209-010-0029-0,"Financial openness, volatility, and the size of productive government",June 2011,Iñaki Erauskin,,,Male,Unknown,Unknown,Male,,6
2.0,2.0,SERIEs,02 November 2010,https://link.springer.com/article/10.1007/s13209-010-0033-4,Specialized advertising and price competition in vertically differentiated markets,June 2011,Lola Esteban,José M. Hernández,,Female,Male,Unknown,Mix,,
