Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Social Choice and Welfare,,https://link.springer.com/article/10.1007/BF00297056,On dividing justly,May 1984,M. E. Yaari,M. Bar-Hillel,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Social Choice and Welfare,,https://link.springer.com/article/10.1007/BF00297057,Truncated Egalitarian solutions,May 1984,W. Thomson,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Social Choice and Welfare,,https://link.springer.com/article/10.1007/BF00297058,Reformulation of the Nash social welfare function for a continuum of individuals,May 1984,M. Kaneko,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Social Choice and Welfare,,https://link.springer.com/article/10.1007/BF00297059,Limiting distributions for continuous state Markov voting models,May 1984,J. A. Ferejohn,R. D. McKelvey,E. W. Packel,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Social Choice and Welfare,,https://link.springer.com/article/10.1007/BF00297060,A note on revelation of information for joint production,May 1984,R. Wilson,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Social Choice and Welfare,,https://link.springer.com/article/10.1007/BF00297061,A ham sandwich theorem for general measures,May 1984,G. W. Cox,R. D. McKelvey,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Social Choice and Welfare,,https://link.springer.com/article/10.1007/BF00452880,Powers of subgroups in voting bodies,August 1984,P. C. Fishburn,W. V. Gehrlein,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Social Choice and Welfare,,https://link.springer.com/article/10.1007/BF00452881,A power rule for social choice,August 1984,R. Saposnik,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Social Choice and Welfare,,https://link.springer.com/article/10.1007/BF00452882,Power structure and cardinality restrictions for paretian social choice rules,August 1984,E. W. Packel,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Social Choice and Welfare,,https://link.springer.com/article/10.1007/BF00452883,An axiomatic characterization of the lexicographic maximin extension of an ordering over a set to the power set,August 1984,P. K. Pattanaik,B. Peleg,,Unknown,Unknown,Unknown,Unknown,,
