Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Spanish Economic Review,,https://link.springer.com/article/10.1007/s101080050001,Some recent developments in capital market theory: A survey,March 1999,Richard C. Stapleton,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Spanish Economic Review,,https://link.springer.com/article/10.1007/s101080050002,Markov-perfect industrial dynamics with technological path dependence,March 1999,Fernando Vega-Redondo,,,Male,Unknown,Unknown,Male,,1
1.0,1.0,Spanish Economic Review,,https://link.springer.com/article/10.1007/s101080050003,Monetary policy and exchange rate dynamics in the Spanish economy,March 1999,Javier Andrés,Ricardo Mestre,Javier Vallés,,Male,,Mix,,
1.0,1.0,Spanish Economic Review,,https://link.springer.com/article/10.1007/s101080050004,Econometric applications of positive rank-one modifications of the symmetric factorization of a positive semi-definite matrix,March 1999,Enrique Sentana,,,Male,Unknown,Unknown,Male,,
1.0,2.0,Spanish Economic Review,,https://link.springer.com/article/10.1007/s101080050005,A dynamic factor model framework for forecast combination,July 1999,Yeung Lewis Chan,James H. Stock,Mark W. Watson,Unknown,Male,Male,Male,,60
1.0,2.0,Spanish Economic Review,,https://link.springer.com/article/10.1007/s101080050006,On winning forecasting competitions in economics,July 1999,Michael P. Clements,David F. Hendry,,Male,Male,Unknown,Male,,30
1.0,2.0,Spanish Economic Review,,https://link.springer.com/article/10.1007/s101080050007,Outline of forecast theory using generalized cost functions,July 1999,Clive W.J. Granger,,,Male,Unknown,Unknown,Male,,94
1.0,2.0,Spanish Economic Review,,https://link.springer.com/article/10.1007/s101080050008,Estimation of the business cycle: A modified Hodrick-Prescott filter,July 1999,Regina Kaiser,Agustín Maravall,,Female,Male,Unknown,Mix,,
1.0,3.0,Spanish Economic Review,,https://link.springer.com/article/10.1007/s101080050009,The future of general equilibrium,November 1999,Andreu Mas-Colell,,,Male,Unknown,Unknown,Male,,3
1.0,3.0,Spanish Economic Review,,https://link.springer.com/article/10.1007/s101080050010,Modelling conditional heteroskedasticity: Application to the “IBEX-35” stock-return index,November 1999,Angel León,Juan Mora,,Male,Male,Unknown,Male,,11
1.0,3.0,Spanish Economic Review,,https://link.springer.com/article/10.1007/s101080050011,"Input cost, capacity utilization and substitution in the short run",November 1999,Miguel A. Delgado,Jordi Jaumandreu,Ana Martín Marcos,Male,Male,Female,Mix,,
1.0,3.0,Spanish Economic Review,,https://link.springer.com/article/10.1007/s101080050012,Multilateral institutions for international economic policy coordination: bargaining vs voting,November 1999,Antonio J. Morales,A. Jorge Padilla,,Male,Unknown,Unknown,Male,,
1.0,3.0,Spanish Economic Review,,https://link.springer.com/article/10.1007/s101080050013,Information transmission and incentives not to price discriminate,November 1999,Iñaki Aguirre,,,Male,Unknown,Unknown,Male,,
