Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
16,1,Sustainability Nexus Forum,28 February 2008,https://link.springer.com/article/10.1007/s00550-008-0066-3,Editorial,March 2008,Dietfried Günter Liesegang,,,Male,Unknown,Unknown,Male,,
16,1,Sustainability Nexus Forum,04 March 2008,https://link.springer.com/article/10.1007/s00550-008-0068-1,Der Klimawandel – Eine aktuelle Bilanz  globaler Prozesse und ihrer regionalen Folgen,March 2008,Alexander Siegmund,,,Male,Unknown,Unknown,Male,,2
16,1,Sustainability Nexus Forum,30 January 2008,https://link.springer.com/article/10.1007/s00550-008-0061-8,Klimaanlagen auf dem Vormarsch,March 2008,Klaus Keßler,,,Male,Unknown,Unknown,Male,,2
16,1,Sustainability Nexus Forum,22 January 2008,https://link.springer.com/article/10.1007/s00550-008-0059-2,Solare Kühlung,March 2008,M. Zetzsche,T. Brendel,H. Müller-Steinhagen,Unknown,Unknown,Unknown,Unknown,,
16,1,Sustainability Nexus Forum,08 February 2008,https://link.springer.com/article/10.1007/s00550-008-0063-6,Kühlen mit Erdwärme,March 2008,Wolf-D. Hagelauer,Klaus J. Busch,,Unknown,Male,Unknown,Male,,
16,1,Sustainability Nexus Forum,20 February 2008,https://link.springer.com/article/10.1007/s00550-008-0064-5,Wenn aus Wärme Kälte wird oder  Einsatz der Absorptionskühlung in der Gebäudekühlung auf Kläranlagen,March 2008,Sven Christian Brückner,Lutz Schneider,,Male,Male,Unknown,Male,,
16,1,Sustainability Nexus Forum,06 February 2008,https://link.springer.com/article/10.1007/s00550-008-0062-7,Einsatz einer Absorptionskältemaschine im Projekt  „Energiespar-Contracting Klinikum Bremerhaven“,March 2008,Heiko Becker,,,Male,Unknown,Unknown,Male,,
16,1,Sustainability Nexus Forum,18 January 2008,https://link.springer.com/article/10.1007/s00550-008-0060-9,Kühlung durch Wärme – kein Paradox sondern Innovation,March 2008,Lothar Keck,,,Male,Unknown,Unknown,Male,,
16,1,Sustainability Nexus Forum,28 February 2008,https://link.springer.com/article/10.1007/s00550-008-0067-2,Regionale Entwicklung und Management integrierter Kühlungssysteme (REMIKS) – Ein Projekt im Anfangsstadium,March 2008,Dietfried Günter Liesegang,,,Male,Unknown,Unknown,Male,,
16,1,Sustainability Nexus Forum,28 February 2008,https://link.springer.com/article/10.1007/s00550-008-0065-4,"CSR ist gut, Nachhaltig Wirtschaften ist besser",March 2008,Heike Leitschuh,,,Female,Unknown,Unknown,Female,,4
16,2,Sustainability Nexus Forum,29 April 2008,https://link.springer.com/article/10.1007/s00550-008-0080-5,CO2-Management von Unternehmen,June 2008,Edeltraud Günther,Martin Nowack,,Female,Male,Unknown,Mix,,
16,2,Sustainability Nexus Forum,24 April 2008,https://link.springer.com/article/10.1007/s00550-008-0072-5,Kohlenstoff und Klimawandel – neue Herausforderungen für das Risikomanagement von Unternehmen,June 2008,Volker H. Hoffmann,Timo Busch,,Male,Male,Unknown,Male,,4
16,2,Sustainability Nexus Forum,23 April 2008,https://link.springer.com/article/10.1007/s00550-008-0076-1,Klimawandel und Klimapolitik – unsere Verantwortung,June 2008,Wolfgang Dirschauer,,,Male,Unknown,Unknown,Male,,
16,2,Sustainability Nexus Forum,22 April 2008,https://link.springer.com/article/10.1007/s00550-008-0077-0,Welche Branchen sind besonders vom Klimawandel betroffen?,June 2008,Eric Heymann,,,Male,Unknown,Unknown,Male,,7
16,2,Sustainability Nexus Forum,23 April 2008,https://link.springer.com/article/10.1007/s00550-008-0075-2,Antworten der Sächsischen Staatsregierung auf die Herausforderungen des Klimawandels,June 2008,Roland Wöller,,,Male,Unknown,Unknown,Male,,
16,2,Sustainability Nexus Forum,17 April 2008,https://link.springer.com/article/10.1007/s00550-008-0074-3,"CO
2
-Performance deutscher Unternehmen: Eine wertorientierte Analyse",June 2008,Tobias Hahn,Andrea Liesen,Frank Figge,Male,Female,Male,Mix,,
16,2,Sustainability Nexus Forum,23 April 2008,https://link.springer.com/article/10.1007/s00550-008-0078-z,Emissionshandel aus soziologischer Sicht: Wer handelt eigentlich wie mit Emissionsrechten?,June 2008,Lisa Knoll,Martin Huth,,Female,Male,Unknown,Mix,,
16,2,Sustainability Nexus Forum,23 April 2008,https://link.springer.com/article/10.1007/s00550-008-0069-0,Kommunen im Klimawandel,June 2008,Ulrike Janssen,Andreas Kress,Dag Schulze,Female,Male,Male,Mix,,
16,2,Sustainability Nexus Forum,23 April 2008,https://link.springer.com/article/10.1007/s00550-008-0071-6,Aufgaben und Rolle des Emissionshandelsprüfers in der Gestaltung des Klimaschutzes,June 2008,Marco Wisniewski,,,Male,Unknown,Unknown,Male,,
16,2,Sustainability Nexus Forum,22 April 2008,https://link.springer.com/article/10.1007/s00550-008-0073-4,Das Carbon Disclosure Project (CDP),June 2008,Matthias Kopp,,,Male,Unknown,Unknown,Male,,7
16,2,Sustainability Nexus Forum,30 April 2008,https://link.springer.com/article/10.1007/s00550-008-0079-y,Stand der Klimaschutzberichterstattung,June 2008,Edeltraud Günther,Martin Nowack,Gabriel Weber,Female,Male,Male,Mix,,
16,2,Sustainability Nexus Forum,22 April 2008,https://link.springer.com/article/10.1007/s00550-008-0070-7,"CO
2
 Management aus neuseeländischer Perspektive",June 2008,Gabriel Weber,,,Male,Unknown,Unknown,Male,,1
16,3,Sustainability Nexus Forum,21 August 2008,https://link.springer.com/article/10.1007/s00550-008-0090-3,Investition und Finanzierung von umweltentlastenden Energietechnologien,September 2008,Dietfried Günter Liesegang,Anette von Ahsen,,Male,Female,Unknown,Mix,,
16,3,Sustainability Nexus Forum,13 August 2008,https://link.springer.com/article/10.1007/s00550-008-0083-2,Entwicklungstendenzen bei Investitionen in umweltentlastende Energietechnologien,September 2008,Susanne Hartard,,,Female,Unknown,Unknown,Female,,
16,3,Sustainability Nexus Forum,16 August 2008,https://link.springer.com/article/10.1007/s00550-008-0084-1,Wirtschaftlichkeitsuntersuchungen bei Wasserkraftanlagen vor dem Hintergrund von WRRL und EEG,September 2008,Stephan Heimerl,Stephan Held,Devid Krull,Male,Male,Unknown,Male,,1
16,3,Sustainability Nexus Forum,20 August 2008,https://link.springer.com/article/10.1007/s00550-008-0087-y,Photovoltaik – auf dem Weg zur Netzparität,September 2008,Romy Acosta López,Felicia Müller-Pelzer,,Female,Female,Unknown,Female,,1
16,3,Sustainability Nexus Forum,13 August 2008,https://link.springer.com/article/10.1007/s00550-008-0085-0,Geschäftsmodelle für eine effiziente Nutzung von µKWK-Anlagen,September 2008,Patrick Himmes,Philip Vogel,Uwe Dietze,Male,Male,Male,Male,,1
16,3,Sustainability Nexus Forum,20 August 2008,https://link.springer.com/article/10.1007/s00550-008-0086-z,Eintrittsmöglichkeiten in den CDM-Markt als CER-Käufer,September 2008,Daniel Römer,Ulrich Georgi,,Male,Male,Unknown,Male,,
16,3,Sustainability Nexus Forum,20 August 2008,https://link.springer.com/article/10.1007/s00550-008-0089-9,Kumulierte Emissionsintensitäten als integrativer Bestandteil der strategischen Investitionsentscheidung,September 2008,Christian Haubach,Regina Schwegler,Mario Schmidt,Male,Female,Male,Mix,,
16,3,Sustainability Nexus Forum,22 August 2008,https://link.springer.com/article/10.1007/s00550-008-0091-2,Finanzierung innovativer Energietechnologien als ein wichtiger Einflussfaktor für Marktdiffusion und Politikgestaltung,September 2008,Reinhard Madlener,Christian Michelsen,,Male,Male,Unknown,Male,,1
16,3,Sustainability Nexus Forum,21 August 2008,https://link.springer.com/article/10.1007/s00550-008-0088-x,Finanzierung von Öko-Innovation,September 2008,Gottfried Lamers,,,Male,Unknown,Unknown,Male,,
16,3,Sustainability Nexus Forum,11 July 2008,https://link.springer.com/article/10.1007/s00550-008-0081-4,Wettbewerbsstrategische Implikationen nachhaltigen Wirtschaftens in der Lebensmittelproduktion,September 2008,Malte L. Peters,Stephan Zelewski,,Male,Male,Unknown,Male,,1
16,3,Sustainability Nexus Forum,02 August 2008,https://link.springer.com/article/10.1007/s00550-008-0082-3,Carbon Footprints und Carbon Label – eine echte Hilfe bei der Kaufentscheidung?,September 2008,Sabine Walter,Mario Schmidt,,Female,Male,Unknown,Mix,,
16,4,Sustainability Nexus Forum,29 October 2008,https://link.springer.com/article/10.1007/s00550-008-0103-2,Nachhaltiges Human Resource Management,December 2008,Uta Kirschten,,,Female,Unknown,Unknown,Female,,1
16,4,Sustainability Nexus Forum,22 October 2008,https://link.springer.com/article/10.1007/s00550-008-0092-1,Strategien und Praktiken eines Nachhaltigen Human Resource Management,December 2008,Ina Ehnert,,,Female,Unknown,Unknown,Female,,1
16,4,Sustainability Nexus Forum,06 November 2008,https://link.springer.com/article/10.1007/s00550-008-0096-x,Nachhaltiges Human Resource Management: Image oder Ethik?,December 2008,Lutz Stührenberg,,,Male,Unknown,Unknown,Male,,
16,4,Sustainability Nexus Forum,24 October 2008,https://link.springer.com/article/10.1007/s00550-008-0097-9,Die Bedeutung der sozialen Verantwortung für die Arbeitgeberattraktivität,December 2008,Markus-Oliver Schwaab,,,Unknown,Unknown,Unknown,Unknown,,
