Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
144,1,Swiss Journal of Economics and Statistics,02 January 2008,https://link.springer.com/article/10.1007/BF03399247,Risk Factors for the Swiss Stock Market,January 2008,Manuel Ammann,Michael Steiner,,Male,Male,Unknown,Male,,17
144,1,Swiss Journal of Economics and Statistics,02 January 2008,https://link.springer.com/article/10.1007/BF03399248,The Effect of Entry Regulation on Process Innovation in the Swiss Mail Industry,January 2008,Helmut M. Dietl,Andreas Grütter,Matthias Finger,Male,Male,Male,Male,,1
144,1,Swiss Journal of Economics and Statistics,02 January 2008,https://link.springer.com/article/10.1007/BF03399249,Sustainability of Swiss Fiscal Policy,January 2008,Gebhard Kirchgässner,Silika Prohl,,Male,Unknown,Unknown,Male,,8
144,1,Swiss Journal of Economics and Statistics,02 January 2008,https://link.springer.com/article/10.1007/BF03399250,To Wait or Not to Wait: Swiss EU-Membership as an Investment under Uncertainty,January 2008,Beat Spirig,Rolf Weder,,Male,Male,Unknown,Male,,1
144,2,Swiss Journal of Economics and Statistics,02 January 2008,https://link.springer.com/article/10.1007/BF03399251,Improving Models of Income Dynamics Using Cross-Section-Information,April 2008,Robert Aebi,Klaus Neusser,Peter Steiner,Male,Male,Male,Male,,
144,2,Swiss Journal of Economics and Statistics,02 January 2008,https://link.springer.com/article/10.1007/BF03399252,Investment Performance of Swiss Pension Funds and Investment Foundations,April 2008,Manuel Ammann,Andreas Zingg,,Male,Male,Unknown,Male,,3
144,2,Swiss Journal of Economics and Statistics,02 January 2008,https://link.springer.com/article/10.1007/BF03399253,Modeling Monetary Transmission in Switzerland with a Structural Cointegrated VAR Model,April 2008,Katrin Assenmacher-Wesche,,,Female,Unknown,Unknown,Female,,5
144,2,Swiss Journal of Economics and Statistics,02 January 2008,https://link.springer.com/article/10.1007/BF03399254,The Evolution of Physician Density in Switzerland,April 2008,Gabrielle Wanzenried,Sandra Nocera,,Female,Female,Unknown,Female,,5
144,3,Swiss Journal of Economics and Statistics,11 January 2008,https://link.springer.com/article/10.1007/BF03399255,Consumer-Directed Health Care: Can Consumers Look After Themselves?,July 2008,Daniel McFadden,Joachim Winter,Florian Heiss,Male,Male,Male,Male,,3
144,3,Swiss Journal of Economics and Statistics,11 January 2008,https://link.springer.com/article/10.1007/BF03399256,Swiss DRGs: Patient Heterogeneity and Hospital Payments,July 2008,Michel Mougeot,Florence Naegelen,,Male,Female,Unknown,Mix,,
144,3,Swiss Journal of Economics and Statistics,11 January 2008,https://link.springer.com/article/10.1007/BF03399257,Health Shocks and the Hazard Rate of Early Retirement in the ECHP,July 2008,Ronald Hagan,Andrew M. Jones,Nigel Rice,Male,Male,Male,Male,,13
144,3,Swiss Journal of Economics and Statistics,11 January 2008,https://link.springer.com/article/10.1007/BF03399258,What Drives Individual Health Expenditure in Switzerland?,July 2008,Marcel Bilger,Jean-Paul Chaze,,Male,Male,Unknown,Male,,7
144,3,Swiss Journal of Economics and Statistics,11 January 2008,https://link.springer.com/article/10.1007/BF03399259,Economies of Scale and Efficiency Measurement in Switzerland’s Nursing Homes,July 2008,Mehdi Farsi,Massimo Filippini,Diego Lunati,Male,Male,Male,Male,,9
144,3,Swiss Journal of Economics and Statistics,11 January 2008,https://link.springer.com/article/10.1007/BF03399260,"Personality, Job Satisfaction and Health — The Mediating Influence of Affectivity",July 2008,Justina A. V. Fischer,Alfonso Sousa-Poza,,Female,Male,Unknown,Mix,,
144,3,Swiss Journal of Economics and Statistics,11 January 2008,https://link.springer.com/article/10.1007/BF03399261,The Determinants of Health Care Utilization in Portugal: An Approach with Count Data Models,July 2008,João Cotter Salvado,,,,Unknown,Unknown,Mix,,
144,3,Swiss Journal of Economics and Statistics,11 January 2008,https://link.springer.com/article/10.1007/BF03399262,"Regional Quantity, Productivity and Efficiency Measures of the Swiss Health Care System",July 2008,Reto Schleiniger,,,Male,Unknown,Unknown,Male,,5
144,3,Swiss Journal of Economics and Statistics,11 January 2008,https://link.springer.com/article/10.1007/BF03399263,The Contribution of Managed Care to the Performance of Healthcare Systems — Evidence from Three Countries,July 2008,Johannes Schoder,Peter Zweifel,,Male,Male,Unknown,Male,,
144,3,Swiss Journal of Economics and Statistics,11 January 2008,https://link.springer.com/article/10.1007/BF03399264,How Do the Determinants of Demand for GP Visits Respond to Higher Supply? An Analysis of Grouped Counts,July 2008,Paulos Teckle,Matt Sutton,,Unknown,Male,Unknown,Male,,1
144,4,Swiss Journal of Economics and Statistics,11 January 2008,https://link.springer.com/article/10.1007/BF03399265,Introduction to this Volume: Applying Hedonics in the Swiss Housing Markets,October 2008,Andrea Baranzini,José V. Ramirez,Philippe Thalmann,Female,Male,Male,Mix,,
144,4,Swiss Journal of Economics and Statistics,11 January 2008,https://link.springer.com/article/10.1007/BF03399266,Constant-Quality House Price Indexes for Switzerland,October 2008,Steven C. Bourassa,Martin Hoesli,Philippe Sormani,Male,Male,Male,Male,,14
144,4,Swiss Journal of Economics and Statistics,11 January 2008,https://link.springer.com/article/10.1007/BF03399267,Spatial Estimation of the Impact of Airport Noise on Residential Housing Prices,October 2008,Marco Salvi,,,Male,Unknown,Unknown,Male,,21
144,4,Swiss Journal of Economics and Statistics,11 January 2008,https://link.springer.com/article/10.1007/BF03399268,Indirect Construction of Hedonic Price Indexes for Private Properties,October 2008,Stefan S. Fahrländer,,,Male,Unknown,Unknown,Male,,5
144,4,Swiss Journal of Economics and Statistics,11 January 2008,https://link.springer.com/article/10.1007/BF03399269,Valuation of Environmental Goods in Profit and Non-Profit Housing Sectors: Evidence from the Rental Market in the City of Zurich,October 2008,Silvia Banfi,Massimo Filippini,Andrea Horehájová,Female,Male,Female,Mix,,
