Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,The Annals of Regional Science,,https://link.springer.com/article/10.1007/BF01290002,Introductory preface to the first issue of the annals of the western regional science association,December 1967,Paul F. Wendt,,,Male,Unknown,Unknown,Male,,
1.0,1.0,The Annals of Regional Science,,https://link.springer.com/article/10.1007/BF01290003,Research for domestic economic development,December 1967,Anthony H. Pascal,,,Male,Unknown,Unknown,Male,,1
1.0,1.0,The Annals of Regional Science,,https://link.springer.com/article/10.1007/BF01290004,Resource information for area research,December 1967,Claron E. Nelson,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,The Annals of Regional Science,,https://link.springer.com/article/10.1007/BF01290005,"Regional economic research program of the Division of Economic Analysis, Bureau of Mines",December 1967,Kung -Lee Wang,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,The Annals of Regional Science,,https://link.springer.com/article/10.1007/BF01290006,Estimating components of gross regional product for use in an eight region model of the U. S. economy,December 1967,Harold T. Moody,Frank W. Puffer,Robert M. Williams,Male,Male,Male,Male,,
1.0,1.0,The Annals of Regional Science,,https://link.springer.com/article/10.1007/BF01290007,Objectives of government planning — The case of the state,December 1967,Richard A. Siegel,,,Male,Unknown,Unknown,Male,,
1.0,1.0,The Annals of Regional Science,,https://link.springer.com/article/10.1007/BF01290008,A proposed manufacturing location model,December 1967,Louis K. Loewenstein,,,Male,Unknown,Unknown,Male,,2
1.0,1.0,The Annals of Regional Science,,https://link.springer.com/article/10.1007/BF01290009,An industrial location model for the San Francisco Bay Area,December 1967,Michael A. Goldberg,,,Male,Unknown,Unknown,Male,,3
1.0,1.0,The Annals of Regional Science,,https://link.springer.com/article/10.1007/BF01290010,Determination of the location for an area school,December 1967,Jeanne Dost,,,Female,Unknown,Unknown,Female,,1
1.0,1.0,The Annals of Regional Science,,https://link.springer.com/article/10.1007/BF01290011,An economic analysis of spatial patterns of research and development in the pharmaceutical industry,December 1967,John M. Brazzel,,,Male,Unknown,Unknown,Male,,
1.0,1.0,The Annals of Regional Science,,https://link.springer.com/article/10.1007/BF01290012,"Forecasting economic growth in the San Francisco Bay Area, 1965–1975",December 1967,Gerald R. Walter,,,Male,Unknown,Unknown,Male,,
1.0,1.0,The Annals of Regional Science,,https://link.springer.com/article/10.1007/BF01290013,The manipulation of property tax as a determinant in changing land use pattern in the urban fringe: An application of linear programming in a hypothetical city,December 1967,Jonathan J. Lu,,,Male,Unknown,Unknown,Male,,
