Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
59,1,The Indian Journal of Labour Economics,20 December 2016,https://link.springer.com/article/10.1007/s41027-016-0048-x,Myth and reality of labour flexibility in India,March 2016,Ravi S. Srivastava,,,,Unknown,Unknown,Mix,,
59,1,The Indian Journal of Labour Economics,09 November 2016,https://link.springer.com/article/10.1007/s41027-016-0046-z,Inequality and the labour market: comparing India and Brazil,March 2016,Gerry Rodgers,,,,Unknown,Unknown,Mix,,
59,1,The Indian Journal of Labour Economics,10 November 2016,https://link.springer.com/article/10.1007/s41027-016-0047-y,Manufacturing and jobs: is India different?,March 2016,Sher Singh Verick,,,Unknown,Unknown,Unknown,Unknown,,
59,1,The Indian Journal of Labour Economics,10 December 2016,https://link.springer.com/article/10.1007/s41027-016-0051-2,Transforming peasantries in India and China: comparative investigations of institutional dimensions,March 2016,Ashwani Saith,,,,Unknown,Unknown,Mix,,
59,1,The Indian Journal of Labour Economics,10 November 2016,https://link.springer.com/article/10.1007/s41027-016-0044-1,Should India do away with the MGNREGA?,March 2016,Mihir Shah,,,Unknown,Unknown,Unknown,Unknown,,
59,1,The Indian Journal of Labour Economics,01 November 2016,https://link.springer.com/article/10.1007/s41027-016-0045-0,Health shocks and well-being,March 2016,Klaus F. Zimmermann,,,Male,Unknown,Unknown,Male,"For too long, research efforts in labour economics have concentrated largely on the provision of jobs and decent work conditions. Often, however, poor health conditions lie at the root of inequality and poverty. While it is broadly accepted that general health is important for welfare and work performance, the relevance of mental health is still widely ignored. Therefore, this paper makes a case for the relevance of mental health to labour economics, draws attention to the under-documented fact that mental health problems may arise due to exogenous health shocks, like arsenic poisoning of drinking water, and investigates the effect of drinking arsenic-contaminated water on mental health. If the arsenic level in water is unsafe, drinking it for a prolonged period can lead to arsenicosis, symptoms of which include black spots on the skin and subsequent illnesses, such as various cancers. This may have consequences not only for the well-being of those affected and their families, but also for their labour supply, productivity and poverty. Education and appropriate information provision may help the affected adjust better, as individuals and in communities. The empirical background draws on data from a household survey in Bangladesh, a country with wide (natural) arsenic contamination of groundwater, to construct several measures for arsenic contamination. These measures include the actual arsenic level in the respondent’s tubewell and past institutional arsenic test results, as well as the collected arsenicosis symptoms of household members and their physical and mental health. It is found that suffering from an arsenicosis symptom is strongly and negatively related to mental health, even more so than from other illnesses. Section 2 discusses the relevance of mental health issues for labour economics. Section 3 explains how mental health or subjective health well-being can be measured. Section 4 presents the issue of arsenic contamination of drinking water. Section 5 documents the efforts to trace the causal effects of drinking arsenic-contaminated water on the likelihood of experiencing mental health problems. Finally, Section 6 concludes and discusses the policy implications.",1
59,1,The Indian Journal of Labour Economics,21 November 2016,https://link.springer.com/article/10.1007/s41027-016-0050-3,Problems and prospects of occupational health infrastructure in India,March 2016,Sigamani Panneer,Shradha Mathur,,Unknown,Unknown,Unknown,Unknown,,
59,1,The Indian Journal of Labour Economics,10 December 2016,https://link.springer.com/article/10.1007/s41027-016-0049-9,K. P. Kannan and Jan Breman (eds): The long road to social security: assessing the implementation of national social security initiatives for the working poor in India,March 2016,Praveen Jha,,,,Unknown,Unknown,Mix,,
59,2,The Indian Journal of Labour Economics,16 March 2017,https://link.springer.com/article/10.1007/s41027-017-0053-8,Social exclusion and caste discrimination in public and private sectors in India: A decomposition analysis,June 2016,S. Madheswaran,Smrutirekha Singhari,,Unknown,Unknown,Unknown,Unknown,,
59,2,The Indian Journal of Labour Economics,05 April 2017,https://link.springer.com/article/10.1007/s41027-017-0055-6,Cyclical asymmetries and short-run relation between employment and output: the case of organised manufacturing in India,June 2016,Jitender Singh,Arup Mitra,,Unknown,Male,Unknown,Male,"In India, it is argued often, industry needs more flexibility to hire and fire workers to sustain competition and minimise losses, especially during downturns in demand. The reasoning for this argument originates from the so-called ‘rigid’ labour laws, which allegedly do not allow industries to fire workers when needed. The argument sounds convincing, especially when one reads that our labour laws appear to protect the rights of workers rather than of industry, but there is little empirical evidence of significant labour market inflexibility that hinders industry from adjusting labour cost during downturns. This study draws its justification from the fact that the empirical literature, which supports the notion that there is inflexibility in the labour market during downturns and upturns in the manufacturing sector in India, is miniscule. One strand of literature from other countriesFootnote 1 argues that during recessions, fall in employment is deeper in recession than the rise during boom while fall and rise in output are of same intensity during recession and boom respectively. If short-run fluctuations occur in labour markets, they may have significant implications on total employment in the economy.Footnote 2 Comprehending short-run responses of employment to output provides useful insights into the short-run dynamics of their relationship, and these insights help in designing policy responses to optimise outcomes in recession. This paper examines these arguments in the context of the organised manufacturing sector in India. Specifically, it tries to answer the following questions. Are employment fluctuations strongly asymmetric? Does output fall as sharply in recessions as it rises in booms? Are falls in employment sharper than outputs? How does employment respond to falls and rises in output? Theoretically, demand for labour is derived from output, and the association between the two is assumed to be positive. The equilibrium condition for a profit-maximising firm restricts the elasticity of production with respect to the variable factor input between 1 and 0, which means that the average and marginal products of labour are declining but positive. These limits on the production function determine a feasible range for the demand for labour. The operation of diminishing production to variable input makes the demand-for-labour curve downward-sloping. This reasoning predicts that the elasticity of labour demand with reference to output will range between 0 and (-)1. Since output is positively associated with labour, and their relation is guided by diminishing returns in production, any decline in output reduces employment more than its rise with respect to an increase in output. Hence, average and marginal productivity of labour will also increase during such range. The fall in output slows down utilisation of existing capacity and results in the rise of the average and marginal products of labour. Labour responds more to downward shifts in the production function than to the movement along the curve during recession. Conversely, during the operation of increasing returns, the demand for labour responds in a manner opposite to what has been concluded assuming diminishing returns. Moreover, at the macro level, heterogeneity among firms becomes decisive, as do adjustments. Firms vary in size of operation, nature of product, technology intensity, and stage of production as per variable returns to labour. Firms facing increasing returns may respond differently than firms facing decreasing returns. Similarly, large firms may react to the situation differently than small firms. In fact, reactions towards skilled and unskilled workers may also differ. These predictions of economic theory are cross-checked against the data. The rest of the paper is divided into the following parts: (2) review of studies; (3) data and methodology; (4) empirical analysis; (5) panel estimation; and (6) conclusion.",
