Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,The Journal of Economic Inequality,,https://link.springer.com/article/10.1023/A:1023997307981,Journal of Economic Inequality,April 2003,Amartya Sen,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,The Journal of Economic Inequality,,https://link.springer.com/article/10.1023/A:1023955524819,Introduction by the Editor-in-chief,April 2003,Jacques Silber,,,Male,Unknown,Unknown,Male,,2
1.0,1.0,The Journal of Economic Inequality,,https://link.springer.com/article/10.1023/A:1023923807503,Generalized Gini Indices of Equality of Opportunity,April 2003,John A. Weymark,,,Male,Unknown,Unknown,Male,,33
1.0,1.0,The Journal of Economic Inequality,,https://link.springer.com/article/10.1023/A:1023913831342,The Measurement of Multidimensional Poverty,April 2003,François Bourguignon,Satya R. Chakravarty,,Male,Male,Unknown,Male,,669
1.0,1.0,The Journal of Economic Inequality,,https://link.springer.com/article/10.1023/A:1023903525276,Multidimensional Deprivation: Contrasting Social Welfare and Counting Approaches,April 2003,A. B. Atkinson,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,The Journal of Economic Inequality,,https://link.springer.com/article/10.1023/A:1023990705770,"For Richer or for Poorer? Evidence from Indonesia, South Africa, Spain, and Venezuela",April 2003,Gary S. Fields,Paul L. Cichello,David Newhouse,Male,Male,Male,Male,,36
1.0,1.0,The Journal of Economic Inequality,,https://link.springer.com/article/10.1023/A:1023935421687,Instructions for Authors,April 2003,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,The Journal of Economic Inequality,,https://link.springer.com/article/10.1023/A:1026109706836,Income Satisfaction Inequality and its Causes,August 2003,Ada Ferrer-i-Carbonell,Bernard M.S. Van Praag,,Female,Male,Unknown,Mix,,
1.0,2.0,The Journal of Economic Inequality,,https://link.springer.com/article/10.1023/A:1026152130903,A Family of Correlation Coefficients Based on the Extended Gini Index,August 2003,E. Schechtman,S. Yitzhaki,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,The Journal of Economic Inequality,,https://link.springer.com/article/10.1023/A:1026198429377,Additively Decomposable Segregation Indexes. The Case of Gender Segregation by Occupations and Human Capital Levels in Spain,August 2003,Ricardo Mora,Javier Ruiz-Castillo,,Male,,Unknown,Mix,,
1.0,2.0,The Journal of Economic Inequality,,https://link.springer.com/article/10.1023/A:1026122624752,A New Poverty Decomposition,August 2003,Hyun Hwa Son,,,,Unknown,Unknown,Mix,,
1.0,2.0,The Journal of Economic Inequality,,https://link.springer.com/article/10.1023/A:1026138231417,Book Review,August 2003,Buhong Zheng,,,Unknown,Unknown,Unknown,Unknown,,
1.0,3.0,The Journal of Economic Inequality,,https://link.springer.com/article/10.1023/B:JOEI.0000004637.12354.c7,Distribution-Free Inference for Welfare Indices under Complete and Incomplete Information,December 2003,Frank A. Cowell,Maria-Pia Victoria-Feser,,Male,Unknown,Unknown,Male,,19
1.0,3.0,The Journal of Economic Inequality,,https://link.springer.com/article/10.1023/B:JOEI.0000004588.24934.81,Using Econometric Models for Intrafirm Equity Salary Adjustments,December 2003,Ronald L. Oaxaca,Michael Ransom,,Male,Male,Unknown,Male,,5
1.0,3.0,The Journal of Economic Inequality,,https://link.springer.com/article/10.1023/B:JOEI.0000004600.57751.3f,"Explaining the Wage Gap: Intra-Industry Trade, Services Linkages and Falling Transportation Costs",December 2003,Jolanda Peeters,Albert de Vaal,,Female,Male,Unknown,Mix,,
1.0,3.0,The Journal of Economic Inequality,,https://link.springer.com/article/10.1023/B:JOEI.0000004626.44909.bd,"DAD, an Innovative Tool for Income Distribution Analysis",December 2003,Qi Zhang,,,,Unknown,Unknown,Mix,,
1.0,3.0,The Journal of Economic Inequality,,https://link.springer.com/article/10.1023/B:JOEI.0000004720.10721.fb,"Contents to Volume 1, 2003",December 2003,,,,Unknown,Unknown,Unknown,Unknown,,
2.0,1.0,The Journal of Economic Inequality,,https://link.springer.com/article/10.1023/B:JOEI.0000028424.60895.93,Editorial,April 2004,Jean-Yves Duclos,Yves Flückiger,Jacques Silber,Unknown,Male,Male,Male,,1
2.0,1.0,The Journal of Economic Inequality,,https://link.springer.com/article/10.1023/B:JOEI.0000028395.38694.4b,Wage Decompositions with Selectivity-Corrected Wage Equations: A Methodological Note,April 2004,Shoshana Neuman,Ronald L. Oaxaca,,Female,Male,Unknown,Mix,,
2.0,1.0,The Journal of Economic Inequality,,https://link.springer.com/article/10.1023/B:JOEI.0000028404.17138.1e,Ranking Income Distributions According to Equality of Opportunity,April 2004,Vito Peragine,,,Male,Unknown,Unknown,Male,,47
2.0,1.0,The Journal of Economic Inequality,,https://link.springer.com/article/10.1023/B:JOEI.0000028406.00861.ab,"Quantity Constraints, Poverty Lines and Poverty Orderings",April 2004,Ramses H. Abul Naga,,,Unknown,Unknown,Unknown,Unknown,,
2.0,1.0,The Journal of Economic Inequality,,https://link.springer.com/article/10.1023/B:JOEI.0000028413.85415.26,Book Review: Distribution and Development. A New Look at the Developing World,April 2004,Lyn Squire,,,,Unknown,Unknown,Mix,,
2.0,1.0,The Journal of Economic Inequality,,https://link.springer.com/article/10.1023/B:JOEI.0000028419.25907.fc,Book Review: The Dynamics of Child Poverty in Industrialized Countries,April 2004,Timothy M. Smeeding,,,Male,Unknown,Unknown,Male,,
2.0,1.0,The Journal of Economic Inequality,,https://link.springer.com/article/10.1023/B:JOEI.0000028415.67970.74,Instructions for Authors,April 2004,,,,Unknown,Unknown,Unknown,Unknown,,
2.0,2.0,The Journal of Economic Inequality,,https://link.springer.com/article/10.1007/s10888-005-4427-7,Preface,January 2005,Conchita D’Ambrosio,Pietro Muliere,,Female,Male,Unknown,Mix,,
2.0,2.0,The Journal of Economic Inequality,,https://link.springer.com/article/10.1007/s10888-004-4427-z,Preface,January 2005,Conchita D’Ambrosio,Pietro Muliere,,Female,Male,Unknown,Mix,,
2.0,2.0,The Journal of Economic Inequality,,https://link.springer.com/article/10.1007/s10888-005-4383-2,Lorenz non-consistent welfare and inequality measurement,January 2005,Alain Chateauneuf,Patrick Moyes,,Male,Male,Unknown,Male,,1
