Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00207900,Valuing mortgage loan servicing,March 1988,Leonard D. Van Drunen,John J. McConnell,,Male,Male,Unknown,Male,,14
1.0,1.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00207901,Valuing the implicit guarantee of the Federal National Mortgage Association,March 1988,Eduardo Schwartz,Robert Van Order,,Male,Male,Unknown,Male,,7
1.0,1.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00207902,Resolution of incentive conflicts in the mortgage industry,March 1988,J. Harold Mulherin,Walter J. Muller III,,Unknown,Male,Unknown,Male,,5
1.0,1.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00207903,Private information and incentives: Implications for mortgage contract terms and pricing,March 1988,Kenneth B. Dunn,Chester S. Spatt,,Male,Male,Unknown,Male,,22
1.0,1.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00207904,On the optimal regulation of financial guarantees,March 1988,Tim S. Campbell,,,Male,Unknown,Unknown,Male,,6
1.0,1.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00207905,Are real estate markets becoming more efficient?,March 1988,Edwin S. Mills,,,Male,Unknown,Unknown,Male,,3
1.0,2.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00152566,An introduction to mortgage research on Wall Street,June 1988,John J. McConnell,Walter Muller,,Male,Male,Unknown,Male,,2
1.0,2.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00152567,Derivative mortgage securities: An overview,June 1988,Joseph C. Hu,,,Male,Unknown,Unknown,Male,,1
1.0,2.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00152568,The refinancing threshold pricing model: An economic approach to valuing MBS,June 1988,Andrew S. Davidson,Michael D. Herskovitz,Leonard D. Van Drunen,Male,Male,Male,Male,,13
1.0,2.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00152569,The option valuation approach to mortgage pricing,June 1988,Andrew S. Carron,Marjorie Hogan,,Male,Female,Unknown,Mix,,
1.0,2.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00152570,Citicorp's mortgage valuation model: Option-adjusted spreads and option-based durations,June 1988,Alan Jay Brazil,,,Male,Unknown,Unknown,Male,,5
1.0,2.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00152571,Adjustable Rate Mortgages: Valuation,June 1988,Jonathan Berk,Richard Roll,,Male,Male,Unknown,Male,,2
1.0,2.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00152572,Performance based mortgage-backed securities indexing,June 1988,Ronald W. Chapman,,,Male,Unknown,Unknown,Male,,
1.0,3.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00658917,Rent control: The international experience,January 1988,Richard Arnott,,,Male,Unknown,Unknown,Male,,12
1.0,3.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00658918,An economic assessment of rent controls: The Ontario experience,January 1988,Lawrence B. Smith,,,Male,Unknown,Unknown,Male,,9
1.0,3.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00658919,Rent control: The British experience and policy response,January 1988,David Coleman,,,Male,Unknown,Unknown,Male,,10
1.0,3.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00658920,Economic and political aspects of negotiated rents in the Swedish housing market,January 1988,Bengt Turner,,,Male,Unknown,Unknown,Male,,19
1.0,3.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00658921,The experience with rent control in Israel: From rental housing to condominiums,January 1988,Elia Werczberger,,,Female,Unknown,Unknown,Female,,8
1.0,3.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00658922,What do economists know about the effect of rent control on housing maintenance?,January 1988,Edgar O. Olsen,,,Male,Unknown,Unknown,Male,,41
1.0,3.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00658923,"Rent control: The citizen, the market, and the state",January 1988,George Fallis,,,Male,Unknown,Unknown,Male,,11
1.0,4.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00187071,Elements of mortgage securitization,December 1988,Alan C. Hess,Clifford W. Smith Jr.,,Male,Male,Unknown,Male,,25
1.0,4.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00187072,"Owner-occupied homes, income-producing properties, and REITs as inflation hedges: Empirical findings",December 1988,Joseph Gyourko,Peter Linneman,,Male,Male,Unknown,Male,,45
1.0,4.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00187073,Land-use zoning in a local economy with optimal property taxes and public expenditures,December 1988,Dennis R. Heffley,Daniel P. Hewitt,,Male,Male,Unknown,Male,,1
1.0,4.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00187074,Property taxes and the transition of land to urban use,December 1988,Geoffrey Keith Turnbull,,,Male,Unknown,Unknown,Male,,14
2.0,1.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00161714,"Housing vacancies, thin markets, and idiosyncratic tastes",February 1989,Richard Arnott,,,Male,Unknown,Unknown,Male,,81
2.0,1.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00161715,Institutional disparities in the pricing of adjustable rate mortgage loans,February 1989,Andrea Jane Heuson,,,Female,Unknown,Unknown,Female,,3
2.0,1.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00161716,The effect of real rates of interest on housing prices,February 1989,Jack C. Harris,,,Male,Unknown,Unknown,Male,,62
2.0,1.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00161717,Efficiency of the office properties market,February 1989,Willard McIntosh,Glenn V. Henderson Jr.,,Male,Male,Unknown,Male,,14
2.0,1.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00161718,Comment: Resolution of incentive conflicts in the mortgage industry,February 1989,Terrence M. Clauretie,,,Male,Unknown,Unknown,Male,,1
2.0,1.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00161719,Resolution of incentive conflicts in the mortgage industry: A reply,February 1989,J. Harold Mulherin,Walter J. Muller III,,Unknown,Male,Unknown,Male,,
2.0,2.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00159792,Security prices in a production economy with durable capital,June 1989,Kenneth F. Wieand,,,Male,Unknown,Unknown,Male,,1
2.0,2.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00159793,The impact of the agencies on conventional fixed-rate mortgage yields,June 1989,Patric H. Hendershott,James D. Shilling,,Male,Male,Unknown,Male,,78
2.0,2.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00159794,The effect of land-use restrictions on market values of single-family homes in Houston,June 1989,Janet Furman Speyrer,,,Female,Unknown,Unknown,Female,,26
2.0,2.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00159795,Explaining intercity home price differences,June 1989,Christopher A. Manning,,,Male,Unknown,Unknown,Male,,17
2.0,3.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00152345,A general equilibrium model of housing consumption and investment,September 1989,James Berkovec,,,Male,Unknown,Unknown,Male,,15
2.0,3.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00152346,Transformations to normality and selectivity bias in hedonic price functions,September 1989,Thomas W. Zuehlke,,,Male,Unknown,Unknown,Male,,2
2.0,3.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00152347,"Architecture, historic zoning, and the value of homes",September 1989,Paul K. Asabere,George Hachey,Steven Grubaugh,Male,Male,Male,Male,,37
2.0,3.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00152348,"Real estate returns, money and fiscal deficits: Is the real estate market efficient?",September 1989,Ali F. Darrat,John L. Glascock,,Male,Male,Unknown,Male,,36
2.0,3.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00152349,"Selling price, financing premiums, and days on the market",September 1989,Eurico J. Ferreira,G. Stacy Sirmans,,Male,Unknown,Unknown,Male,,29
2.0,3.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00152350,Valuing and hedging fixed rate mortgage commitments,September 1989,Brian A. Maris,Harry L. White,,Male,Male,Unknown,Male,,2
2.0,4.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00177946,Bidding in real estate: A game theoretic approach,December 1989,Taewon Kim,,,Unknown,Unknown,Unknown,Unknown,,
2.0,4.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00177947,The pricing of adjustable rate mortgage contracts,December 1989,J. Sa-Aadu,C. F. Sirmans,,Unknown,Unknown,Unknown,Unknown,,
2.0,4.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00177948,The probability of prepayment,December 1989,Peter Chinloy,,,Male,Unknown,Unknown,Male,,4
2.0,4.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00177949,Modeling conventional residential mortgage refinancings,December 1989,S. Michael Giliberto,Thomas G. Thibodeau,,Unknown,Male,Unknown,Male,,25
2.0,4.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00177950,On the determinants of yield spreads between mortgage pass-through and Treasury securities,December 1989,James P. Rothberg,Frank E. Nothaft,Stuart A. Gabriel,Male,Male,Male,Male,,21
2.0,4.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00177951,Martingales and efficient forecasts of effective mortgage rates,December 1989,William Reichenstein,,,Male,Unknown,Unknown,Male,,4
2.0,4.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00177952,A profit-maximizing model of Federal Home Loan Bank behavior,December 1989,Elizabeth Mays,,,Female,Unknown,Unknown,Female,,1
2.0,4.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00177953,Fixed-percentage commissions and moral hazard in residential real estate brokerage,December 1989,Wayne Carroll,,,Male,Unknown,Unknown,Male,,11
3.0,1.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00153703,Do prices reflect market fundamentals in real estate markets?,March 1990,Louis O. Scott,,,Male,Unknown,Unknown,Male,,32
3.0,1.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00153704,The economic effects of long-term rent control: The case of New York City,March 1990,Richard Ault,Richard Saba,,Male,Male,Unknown,Male,,20
3.0,1.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00153705,Sequential entry and plant location in oligopolistic competition,March 1990,Hong Hwang,Chao-Cheng Mai,,,Unknown,Unknown,Mix,,
3.0,1.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00153706,Estimation employing a priori information within mass appraisal and hedonic pricing models,March 1990,R. Kelly Pace,Otis W. Gilley,,Unknown,Male,Unknown,Male,,14
3.0,1.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00153707,An examination of the relative economic efficiency of mutual vs. stock savings institutions,March 1990,Stanley R. Stansell,Daniel R. Hollas,,Male,Male,Unknown,Male,,6
3.0,1.0,The Journal of Real Estate Finance and Economics,,https://link.springer.com/article/10.1007/BF00153708,Are REITs inflation hedges?,March 1990,Jeong Yun Park,Donald J. Mullineaux,It-Keong Chew,,Male,Unknown,Mix,,
