Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,The Quarterly Journal of Austrian Economics,,https://link.springer.com/article/10.1007/s12113-998-1000-9,The separation of commercial and investment banking: The morgans vs. The rockefellers,March 1998,Alexander Tabarrok,,,Male,Unknown,Unknown,Male,,13
1.0,1.0,The Quarterly Journal of Austrian Economics,,https://link.springer.com/article/10.1007/s12113-998-1001-8,Against fiduciary media,March 1998,Hans-Hermann Hoppe,Jörg Guido Hülsmann,Walter Block,Unknown,Male,Male,Male,,59
1.0,1.0,The Quarterly Journal of Austrian Economics,,https://link.springer.com/article/10.1007/s12113-998-1002-7,The intertemporal Adam Smith,March 1998,Roger W. Garrison,,,Male,Unknown,Unknown,Male,,2
1.0,1.0,The Quarterly Journal of Austrian Economics,,https://link.springer.com/article/10.1007/s12113-998-1003-6,Murray rothbard confronts Adam Smith,March 1998,Paul B. Trescott,,,Male,Unknown,Unknown,Male,,3
1.0,1.0,The Quarterly Journal of Austrian Economics,,https://link.springer.com/article/10.1007/s12113-998-1004-5,Murray Rothbard’s Adam Smith,March 1998,Spencer J. Pack,,,Male,Unknown,Unknown,Male,,5
1.0,1.0,The Quarterly Journal of Austrian Economics,,https://link.springer.com/article/10.1007/s12113-998-1005-4,Book reviews,March 1998,Robert Higgs,Jörg Guido Hülsmann,,Male,Male,Unknown,Male,,
1.0,2.0,The Quarterly Journal of Austrian Economics,,https://link.springer.com/article/10.1007/s12113-998-1006-3,Monopoly prices,June 1998,Ludwig Von Mises,,,Male,Unknown,Unknown,Male,,10
1.0,2.0,The Quarterly Journal of Austrian Economics,,https://link.springer.com/article/10.1007/s12113-998-1007-2,"The impossibility of socialist economy, or, a cat cannot swim the Atlantic ocean",June 1998,Morgan O. Reynolds,,,,Unknown,Unknown,Mix,,
1.0,2.0,The Quarterly Journal of Austrian Economics,,https://link.springer.com/article/10.1007/s12113-998-1008-1,Entrepreneurship and economic growth,June 1998,Randall G. Holcombe,,,Male,Unknown,Unknown,Male,,212
1.0,2.0,The Quarterly Journal of Austrian Economics,,https://link.springer.com/article/10.1007/s12113-998-1009-0,A geographical perspective on Austrian economics,June 1998,Pierre Desrochers,,,Male,Unknown,Unknown,Male,,20
1.0,2.0,The Quarterly Journal of Austrian Economics,,https://link.springer.com/article/10.1007/s12113-998-1010-7,The recession of 1990: A comment,June 1998,Paul Cwik,,,Male,Unknown,Unknown,Male,,8
1.0,2.0,The Quarterly Journal of Austrian Economics,,https://link.springer.com/article/10.1007/s12113-998-1011-6,Book review,June 1998,Roger W. Garrison,,,Male,Unknown,Unknown,Male,,
1.0,2.0,The Quarterly Journal of Austrian Economics,,https://link.springer.com/article/10.1007/s12113-998-1012-5,Erratum,June 1998,Hans-Hermann Hoppe,Jörg Guido,Walter Block,Unknown,Male,Male,Male,,
1.0,3.0,The Quarterly Journal of Austrian Economics,,https://link.springer.com/article/10.1007/s12113-998-1013-4,Hayek’s money economy: The dynamics of competitive equilibrium and socio-economic order,September 1998,G. R. Steele,,,Unknown,Unknown,Unknown,Unknown,,
1.0,3.0,The Quarterly Journal of Austrian Economics,,https://link.springer.com/article/10.1007/s12113-998-1014-3,Are markets like language?,September 1998,Leland B. Yeager,,,Male,Unknown,Unknown,Male,,3
1.0,3.0,The Quarterly Journal of Austrian Economics,,https://link.springer.com/article/10.1007/s12113-998-1015-2,The role of fractional-reserve banking and financial intermediation in the money supply process: Keynes and the Austrians,September 1998,John P. Cochran,Steven T. Call,,Male,Male,Unknown,Male,,6
