Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,The Review of Austrian Economics,,https://link.springer.com/article/10.1007/BF01539330,Introductory editorial,December 1987,Murray N. Rothbard,Walter Block,,Male,Male,Unknown,Male,,2
1.0,1.0,The Review of Austrian Economics,,https://link.springer.com/article/10.1007/BF01539331,Editorial: The Inflationary chaos ahead,December 1987,Henry Hazlitt,,,Male,Unknown,Unknown,Male,,
1.0,1.0,The Review of Austrian Economics,,https://link.springer.com/article/10.1007/BF01539332,Why subjectivism?,December 1987,Leland Yeager,,,Male,Unknown,Unknown,Male,,11
1.0,1.0,The Review of Austrian Economics,,https://link.springer.com/article/10.1007/BF01539333,"Wages, prices, and employment: Von mises and the progressives",December 1987,Lowell Gallaway,Richard K. Vedder,,Male,Male,Unknown,Male,,9
1.0,1.0,The Review of Austrian Economics,,https://link.springer.com/article/10.1007/BF01539334,A critique of monetarist and Austrian doctrines on the utility and value of money,December 1987,Richard H. Timberlake Jr.,,,Male,Unknown,Unknown,Male,,5
1.0,1.0,The Review of Austrian Economics,,https://link.springer.com/article/10.1007/BF01539335,Breaking out of the Walrasian box: The cases of Schumpeter and hansen,December 1987,Murray N. Rothbard,,,Male,Unknown,Unknown,Male,,18
1.0,1.0,The Review of Austrian Economics,,https://link.springer.com/article/10.1007/BF01539336,Two forgotten articles by Ludwig von Mises on the rationality of socialist economic calculation,December 1987,William Keizer,,,Male,Unknown,Unknown,Male,,6
1.0,1.0,The Review of Austrian Economics,,https://link.springer.com/article/10.1007/BF01539337,Rent seeking: Some conceptual problems and implications,December 1987,E. C. Pasour Jr.,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,The Review of Austrian Economics,,https://link.springer.com/article/10.1007/BF01539338,Some Austrian perspectives on keynesian fiscal policy and the recovery in the thirties,December 1987,Gene Smiley,,,,Unknown,Unknown,Mix,,
1.0,1.0,The Review of Austrian Economics,,https://link.springer.com/article/10.1007/BF01539339,"GNP, PPR, and the standard of living",December 1987,Robert Batemarco,,,Male,Unknown,Unknown,Male,,3
