Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,The Review of Black Political Economy,,https://link.springer.com/article/10.1007/BF03037536,Publisher’s preface to the inaugural issue,March 1970,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,The Review of Black Political Economy,,https://link.springer.com/article/10.1007/BF03037537,Menu,March 1970,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,The Review of Black Political Economy,,https://link.springer.com/article/10.1007/BF03037538,Outputs of minority entrepreneurship programs,March 1970,Glenn Dixon,,,Male,Unknown,Unknown,Male,,1
1.0,1.0,The Review of Black Political Economy,,https://link.springer.com/article/10.1007/BF03037539,Toward an overall assessment of our alternatives,March 1970,Robert S. Browne,,,Male,Unknown,Unknown,Male,,4
1.0,1.0,The Review of Black Political Economy,,https://link.springer.com/article/10.1007/BF03037540,The myth and irrationality of Black capitalism,March 1970,James Boggs,,,Male,Unknown,Unknown,Male,,6
1.0,1.0,The Review of Black Political Economy,,https://link.springer.com/article/10.1007/BF03037541,The Black manifesto,March 1970,James Forman,,,Male,Unknown,Unknown,Male,,
1.0,1.0,The Review of Black Political Economy,,https://link.springer.com/article/10.1007/BF03037542,What do you people want?,March 1970,Richard F. America,,,Male,Unknown,Unknown,Male,,2
1.0,1.0,The Review of Black Political Economy,,https://link.springer.com/article/10.1007/BF03037543,The basic economics of the urban and racial crisis,March 1970,Daniel R. Fusfeld,,,Male,Unknown,Unknown,Male,,4
1.0,1.0,The Review of Black Political Economy,,https://link.springer.com/article/10.1007/BF03037544,Brimmer and Black Capitalism: An analysis,March 1970,Charles Tate,,,Male,Unknown,Unknown,Male,,6
1.0,1.0,The Review of Black Political Economy,,https://link.springer.com/article/10.1007/BF03037545,The Role of Black Managers in Society,March 1970,Flournoy A. Coles,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,The Review of Black Political Economy,,https://link.springer.com/article/10.1007/BF03037546,Book reviews,March 1970,Thaddeus H. Spratlen,Charles Z. Wilson,Robert S. Browne,Male,Male,Male,Male,,
1.0,1.0,The Review of Black Political Economy,,https://link.springer.com/article/10.1007/BF03037547,Bulletins,March 1970,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,The Review of Black Political Economy,,https://link.springer.com/article/10.1007/BF03037548,Announcements,March 1970,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,The Review of Black Political Economy,,https://link.springer.com/article/10.1007/BF03040635,Editorial note,September 1970,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,The Review of Black Political Economy,,https://link.springer.com/article/10.1007/BF03040636,Menu,September 1970,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,The Review of Black Political Economy,,https://link.springer.com/article/10.1007/BF03040637,Black central cities: Dispersal or rebuilding,September 1970,Peter Labrie,,,Male,Unknown,Unknown,Male,,2
1.0,2.0,The Review of Black Political Economy,,https://link.springer.com/article/10.1007/BF03040638,Industrialization of the “black economy”,September 1970,C. R. Winegarden,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,The Review of Black Political Economy,,https://link.springer.com/article/10.1007/BF03040639,Black economic development and income drain,September 1970,Daniel B. Mitchell,,,Male,Unknown,Unknown,Male,,
1.0,2.0,The Review of Black Political Economy,,https://link.springer.com/article/10.1007/BF03040640,Barriers to black participation in the American economy,September 1970,Robert S. Browne,,,Male,Unknown,Unknown,Male,,2
1.0,2.0,The Review of Black Political Economy,,https://link.springer.com/article/10.1007/BF03040641,Alternative policies for increasing the earnings of migratory farm workers,September 1970,Herrington J. Bryce,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,The Review of Black Political Economy,,https://link.springer.com/article/10.1007/BF03040642,The broadcast industry and Black cultural restitution,September 1970,Donald K. Hill,,,Male,Unknown,Unknown,Male,,
1.0,2.0,The Review of Black Political Economy,,https://link.springer.com/article/10.1007/BF03040643,Readers’ commentary,September 1970,Norman Girvan,Jesse Morris,,Male,Male,Unknown,Male,,
1.0,2.0,The Review of Black Political Economy,,https://link.springer.com/article/10.1007/BF03040644,The 1970 Workshop of the Caucus of Black Economists-Notes and Abstracts of Papers,September 1970,Thaddeus H. Spratlen,,,Male,Unknown,Unknown,Male,,
1.0,2.0,The Review of Black Political Economy,,https://link.springer.com/article/10.1007/BF03040645,Book reviews,September 1970,Robert S. Browne,Bernard E. Anderson,,Male,Male,Unknown,Male,,1
1.0,2.0,The Review of Black Political Economy,,https://link.springer.com/article/10.1007/BF03040646,Employment opportunities,September 1970,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,3.0,The Review of Black Political Economy,,https://link.springer.com/article/10.1007/BF03040555,Editorial note,December 1971,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,3.0,The Review of Black Political Economy,,https://link.springer.com/article/10.1007/BF03040556,Menu,December 1971,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,3.0,The Review of Black Political Economy,,https://link.springer.com/article/10.1007/BF03040557,Economics and black people,December 1971,Thomas Sowell,,,Male,Unknown,Unknown,Male,,1
1.0,3.0,The Review of Black Political Economy,,https://link.springer.com/article/10.1007/BF03040558,A neo-mercantilistic model for maximizing ghetto income,December 1971,John H. Niedercorn,,,Male,Unknown,Unknown,Male,,
1.0,3.0,The Review of Black Political Economy,,https://link.springer.com/article/10.1007/BF03040559,Cash flows in a ghetto community,December 1971,Robert S. Browne,,,Male,Unknown,Unknown,Male,,
1.0,3.0,The Review of Black Political Economy,,https://link.springer.com/article/10.1007/BF03040560,"Savings, capital accumulation, and voluntary taxes",December 1971,Richard F. America,,,Male,Unknown,Unknown,Male,,
1.0,3.0,The Review of Black Political Economy,,https://link.springer.com/article/10.1007/BF03040561,Economics and black poverty,December 1971,Charles M. Sackrey,,,Male,Unknown,Unknown,Male,,
