Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Theory and Decision,,https://link.springer.com/article/10.1007/BF00132449,Editorial,October 1970,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Theory and Decision,,https://link.springer.com/article/10.1007/BF00132450,Specification of objectives in decision problems,October 1970,Karl Borch,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Theory and Decision,,https://link.springer.com/article/10.1007/BF00132451,Critéres de choix en avenir incertain,October 1970,P. Malgrange,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Theory and Decision,,https://link.springer.com/article/10.1007/BF00132452,On subjective probability and related problems,October 1970,Günter Menges,,,Male,Unknown,Unknown,Male,,9
1.0,1.0,Theory and Decision,,https://link.springer.com/article/10.1007/BF00132453,Cost-benefit versus expected utility acceptance rules,October 1970,Alex C. Michalos,,,Male,Unknown,Unknown,Male,,13
1.0,1.0,Theory and Decision,,https://link.springer.com/article/10.1007/BF00132454,On the possibility of rational policy evaluation,October 1970,Thomas Schwartz,,,Male,Unknown,Unknown,Male,,57
1.0,1.0,Theory and Decision,,https://link.springer.com/article/10.1007/BF00132455,Kant — A decision theorist?,October 1970,C. W. Churchman,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Theory and Decision,,https://link.springer.com/article/10.1007/BF00132456,Books received,October 1970,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Theory and Decision,,https://link.springer.com/article/10.1007/BF00154002,"Science, reason and value",December 1970,Andrew McLaughlin,,,Male,Unknown,Unknown,Male,,14
1.0,2.0,Theory and Decision,,https://link.springer.com/article/10.1007/BF00154003,The languages of science,December 1970,K. B. Madsen,,,Unknown,Unknown,Unknown,Unknown,,
