Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
12,1,Transition Studies Review,,https://link.springer.com/article/10.1007/s11300-005-0031-6,Central Bank Autonomy without Monetary Policy,July 2005,Luca Papi,,,Male,Unknown,Unknown,Male,,
12,1,Transition Studies Review,,https://link.springer.com/article/10.1007/s11300-005-0032-5,International Transmission Effect of Volatility between the Financial Markets during the Asian Financial Crisis,July 2005,Ruey-Shan Wu,,,Unknown,Unknown,Unknown,Unknown,,
12,1,Transition Studies Review,,https://link.springer.com/article/10.1007/s11300-005-0033-4,Mutual-Fund Benchmarking and Market Bubbles: A Behavioral Approach,July 2005,Alberto Bertoni,Giorgio Bertinetti,Chiara Cesari,Male,Male,Female,Mix,,
12,1,Transition Studies Review,,https://link.springer.com/article/10.1007/s11300-005-0034-3,Corporate Social Responsibility in Romania: From Theory to Practice,July 2005,Mihai Korka,,,Male,Unknown,Unknown,Male,,18
12,1,Transition Studies Review,,https://link.springer.com/article/10.1007/s11300-005-0035-2,Between Transition and Enlargement: The Composition of Consumption in European Households,July 2005,Marina Schenkel,Daniele Sturam,Fabio Occari,Female,Female,Male,Mix,,
12,1,Transition Studies Review,,https://link.springer.com/article/10.1007/s11300-005-0036-1,Regional Trade Clusters in Promoting Eastward Enlargement of European Union,July 2005,Tiiu Paas,Egle Tafenau,,Female,Female,Unknown,Female,,4
12,1,Transition Studies Review,,https://link.springer.com/article/10.1007/s11300-005-0037-0,Democracy and Military Expenditure: A Cross-Country Evidence,July 2005,Julide Yildirim,Selami Sezgin,,Female,Male,Unknown,Mix,,
12,1,Transition Studies Review,,https://link.springer.com/article/10.1007/s11300-005-0038-z,Europe and Security in the Caucasus,July 2005,Giorgio Dominese,,,Male,Unknown,Unknown,Male,,
12,1,Transition Studies Review,,https://link.springer.com/article/10.1007/s11300-005-0039-y,The 800-Year-Old Westernization Dream of the East-Mediterranean Turks: Thinking the EU Membership of Turkey,July 2005,Buket Uzuner,,,Female,Unknown,Unknown,Female,,
12,1,Transition Studies Review,,https://link.springer.com/article/10.1007/s11300-005-0040-5,Croatian Regional Policy Fostering Competitiveness,July 2005,Sanja Maleković,Zlatan Fröhlich,,Female,Male,Unknown,Mix,,
12,1,Transition Studies Review,,https://link.springer.com/article/10.1007/s11300-005-0042-3,Costs and Financing of Maritime Education and Training in Europe: Analysis and Policy Implications,July 2005,Marco Mazzarino,,,Male,Unknown,Unknown,Male,,
12,1,Transition Studies Review,,https://link.springer.com/article/10.1007/s11300-005-0043-4,Building Entrepreneurial Economies,July 2005,Carl J. Schramm,,,Male,Unknown,Unknown,Male,,5
12,1,Transition Studies Review,,https://link.springer.com/article/10.1007/s11300-005-0044-1,The European Convention on Human Rights in the Constitutional System of Serbia and Montenegro,July 2005,Rodoljub Etinski,,,Male,Unknown,Unknown,Male,,1
12,1,Transition Studies Review,,https://link.springer.com/article/10.1007/s11300-005-0045-0,"Paas, T., Tafenau E. (eds.): Modelling the Economies of the Baltic Sea Region",July 2005,,,,Unknown,Unknown,Unknown,Unknown,,
12,1,Transition Studies Review,,https://link.springer.com/article/10.1007/s11300-005-0048-x,"Caraley, D. J. (ed.): American Hegemony: Preventive War, Iraq, and Imposing Democracy.",July 2005,,,,Unknown,Unknown,Unknown,Unknown,,
12,1,Transition Studies Review,,https://link.springer.com/article/10.1007/s11300-005-0052-1,"Stojanov, D., Culahovic, B.: From Transition to Development: Globalization and Political Economy of Development in Transition Economies; Proceedings of the Second International Conference of the Faculty of Economics Sarajevo.",July 2005,,,,Unknown,Unknown,Unknown,Unknown,,
12,1,Transition Studies Review,,https://link.springer.com/article/10.1007/s11300-005-0057-9,"Internationale Politik, vol. 60, nr. 1. Frankfurter Societäts-Druckerei, Frankfurt am Main, 2005.",July 2005,,,,Unknown,Unknown,Unknown,Unknown,,
12,2,Transition Studies Review,,https://link.springer.com/article/10.1007/s11300-005-0058-8,The Serbian Banking System: Recent Development and Major Players,September 2005,Elisa Coletti,Virginia Tirri,,Female,Female,Unknown,Female,,
12,2,Transition Studies Review,,https://link.springer.com/article/10.1007/s11300-005-0059-7,Rating System as a Banking Performance Regulator in the Conditions of Transition Economy,September 2005,Edward Sandoyan,Arzik Suvaryan,Davit Sahakyan,Male,Unknown,Male,Male,,
