Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Transportation,,https://link.springer.com/article/10.1007/BF00167505,Editorial statement,May 1972,The Editors,,,,Unknown,Unknown,Mix,,
1.0,1.0,Transportation,,https://link.springer.com/article/10.1007/BF00167506,The Gothenburg traffic restraint scheme,May 1972,Curt M. Elmberg,,,Male,Unknown,Unknown,Male,,12
1.0,1.0,Transportation,,https://link.springer.com/article/10.1007/BF00167507,The application of cost-benefit analysis to transport investment projects in Britain,May 1972,David W. F. Barrell,Peter J. Hills,,Male,Male,Unknown,Male,,6
1.0,1.0,Transportation,,https://link.springer.com/article/10.1007/BF00167508,Aesthetic and ecological disharmonies of highways,May 1972,Patricia J. Moser,,,Female,Unknown,Unknown,Female,,
1.0,1.0,Transportation,,https://link.springer.com/article/10.1007/BF00167509,Status report on highway-related public transportation projects in the United States,May 1972,Donald A. Morin,,,Male,Unknown,Unknown,Male,,2
1.0,1.0,Transportation,,https://link.springer.com/article/10.1007/BF00167510,Should we urbanise the motor vehicle?,May 1972,Alain Bieber,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Transportation,,https://link.springer.com/article/10.1007/BF00167511,News,May 1972,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Transportation,,https://link.springer.com/article/10.1007/BF00167512,Reviews,May 1972,Rodney Sheath,J. C. R. Lacthford,M.G.R.,Male,Unknown,Unknown,Male,,
1.0,2.0,Transportation,,https://link.springer.com/article/10.1007/BF00167995,A new role for planners: Working with community residents in formulating alternative plans for street patterns—Before decision making,August 1972,J. E. Grigsby III,B. Campbell,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Transportation,,https://link.springer.com/article/10.1007/BF00167996,Goods transport in Etarea,August 1972,G. Čelechovský,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Transportation,,https://link.springer.com/article/10.1007/BF00167997,Information needs of the continuing urban transportation planning process,August 1972,K. J. Dueker,F. E. Horton,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Transportation,,https://link.springer.com/article/10.1007/BF00167998,The Dublin transportation study,August 1972,John P. Devlin,,,Male,Unknown,Unknown,Male,,2
1.0,2.0,Transportation,,https://link.springer.com/article/10.1007/BF00167999,Social and psychological impacts of transportation improvements,August 1972,Jon E. Burkhardt,Margaret T. Shaffer,,Male,Female,Unknown,Mix,,
1.0,2.0,Transportation,,https://link.springer.com/article/10.1007/BF00168000,Reviews,August 1972,Joseph L. Schoffer,Michael Batty,W. Ruske,Male,Male,Unknown,Male,,
1.0,2.0,Transportation,,https://link.springer.com/article/10.1007/BF00168001,News,August 1972,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Transportation,,https://link.springer.com/article/10.1007/BF00168002,Erratum,August 1972,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,3.0,Transportation,,https://link.springer.com/article/10.1007/BF00150315,Substituting operational control for physical capacity in urban transportation,November 1972,Daniel Brand,,,Male,Unknown,Unknown,Male,,
1.0,3.0,Transportation,,https://link.springer.com/article/10.1007/BF00150316,Transportation and energy—A future confrontation,November 1972,W. P. Goss,J. G. McGowan,,Unknown,Unknown,Unknown,Unknown,,
