Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Triple Helix,29 October 2014,https://link.springer.com/article/10.1186/s40604-014-0011-0,Four dimensions to observe a Triple Helix: invention of ‘cored model’ and differentiation of institutional and functional spheres,December 2014,Chunyan Zhou,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Triple Helix,11 December 2014,https://link.springer.com/article/10.1186/s40604-014-0010-1,Triple helix and residential development in a science and technology park: the role of intermediaries,December 2014,Friederike Bellgardt,Jürgen Gohlke,Juliane Schicketanz,Female,Male,Female,Mix,,
1.0,1.0,Triple Helix,07 November 2014,https://link.springer.com/article/10.1186/s40604-014-0009-7,Gendered innovations: harnessing the creative power of sex and gender analysis to discover new ideas and develop new technologies,December 2014,Londa Schiebinger,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Triple Helix,10 December 2014,https://link.springer.com/article/10.1186/s40604-014-0008-8,Innovation today: the Triple Helix and research diversity,December 2014,Alain-Marc Rieu,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Triple Helix,21 November 2014,https://link.springer.com/article/10.1186/s40604-014-0007-9,Smart cities: the state-of-the-art and governance challenge,December 2014,Mark Deakin,,,Male,Unknown,Unknown,Male,Please see Additional file 1 for translation of the abstract into the five official working languages of the United Nations and Portuguese.,59
1.0,1.0,Triple Helix,28 October 2014,https://link.springer.com/article/10.1186/s40604-014-0006-x,"Technology platforms in Russia: a catalyst for connecting government, science, and business?",December 2014,Irina G Dezhina,,,Female,Unknown,Unknown,Female,Please see Additional file 1 for translations of the abstract into the five official working languages of the United Nations and Portuguese.,5
1.0,1.0,Triple Helix,24 October 2014,https://link.springer.com/article/10.1186/s40604-014-0005-y,Information flow within the West African innovation systems,December 2014,Eustache Mêgnigbêto,,,Male,Unknown,Unknown,Male,Please see Additional file 1 for translation of the abstract into the five official working languages of the United Nations and Portuguese.,4
1.0,1.0,Triple Helix,28 October 2014,https://link.springer.com/article/10.1186/s40604-014-0004-z,Can synergy in Triple Helix relations be quantified? A review of the development of the Triple Helix indicator,December 2014,Loet Leydesdorff,Han Woo Park,,Unknown,,Unknown,Mix,,
1.0,1.0,Triple Helix,16 October 2014,https://link.springer.com/article/10.1186/s40604-014-0003-0,"Organizing product innovation: hierarchy, market or triple-helix networks?",December 2014,Rune Dahl Fitjar,Martin Gjelsvik,Andrés Rodríguez-Pose,Male,Male,Male,Male,Please see Additional file 1 for translations of the abstract into the five official working languages of the United Nations and Portuguese.,7
1.0,1.0,Triple Helix,18 September 2014,https://link.springer.com/article/10.1186/s40604-014-0002-1,Technological catch-up and the role of universities: South Korea’s innovation-based growth explained through the Corporate Helix model,December 2014,Myung-Hwan Cho,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Triple Helix,10 July 2014,https://link.springer.com/article/10.1186/s40604-014-0001-2,Implementing the Triple Helix model in a non-Western context: an institutional logics perspective,December 2014,Yuzhuo Cai,,,Unknown,Unknown,Unknown,Unknown,,
2.0,1.0,Triple Helix,21 December 2015,https://link.springer.com/article/10.1186/s40604-015-0030-5,Management and assessment of innovation environments,December 2015,Marcelo Amaral,,,Male,Unknown,Unknown,Male,Please see Additional file 1 for translation of the abstract into Arabic.,4
2.0,1.0,Triple Helix,08 December 2015,https://link.springer.com/article/10.1186/s40604-015-0029-y,Erratum to: Intersectoral mobility of researchers in Russia: trends and policy measures,December 2015,Irina Dezhina,,,Female,Unknown,Unknown,Female,,
2.0,1.0,Triple Helix,24 November 2015,https://link.springer.com/article/10.1186/s40604-015-0028-z,Efficiency of the knowledge triangle policy in the EU member states: DEA approach,December 2015,Katarzyna Tarnawska,Vasileios Mavroeidis,,Female,Male,Unknown,Mix,,
2.0,1.0,Triple Helix,02 November 2015,https://link.springer.com/article/10.1186/s40604-015-0027-0,Effect of international collaboration on knowledge flow within an innovation system: a Triple Helix approach,December 2015,Eustache Mêgnigbêto,,,Male,Unknown,Unknown,Male,Please see Additional file 1 for translation of the abstract into Arabic.,8
2.0,1.0,Triple Helix,15 October 2015,https://link.springer.com/article/10.1186/s40604-015-0025-2,Re-aligning the Triple Helix in post-Soviet Armenia,December 2015,Annamária Inzelt,,,Female,Unknown,Unknown,Female,Please see Additional file 1 for translation of the abstract into Arabic.,2
2.0,1.0,Triple Helix,12 October 2015,https://link.springer.com/article/10.1186/s40604-015-0026-1,Organizational innovation: verifying a comprehensive model for catalyzing organizational development and change,December 2015,Annika Steiber,Sverker Alänge,,Female,Male,Unknown,Mix,,
2.0,1.0,Triple Helix,22 August 2015,https://link.springer.com/article/10.1186/s40604-015-0019-0,Dirty dances: academia-industry relations in Russia,December 2015,Olga Bychkova,Anna Chernysh,Evgeniya Popova,Female,Female,Female,Female,Please see Additional file 1 for translation of the abstract into Arabic.,4
2.0,1.0,Triple Helix,23 July 2015,https://link.springer.com/article/10.1186/s40604-015-0023-4,Types of knowledge and diversity of business-academia collaborations: implications for measurement and policy,December 2015,Attila Havas,,,Male,Unknown,Unknown,Male,Please see Additional file 1 for translation of the abstract into Arabic.,6
2.0,1.0,Triple Helix,15 July 2015,https://link.springer.com/article/10.1186/s40604-015-0024-3,The spatial dimension of the triple helix: the city revisited – towards a mode 3 model of innovation systems,December 2015,Christiane Gebhardt,,,Female,Unknown,Unknown,Female,,3
2.0,1.0,Triple Helix,07 July 2015,https://link.springer.com/article/10.1186/s40604-015-0022-5,Spin-off as an indicator of regional innovation network development,December 2015,Konstantin I Grasmik,,,Male,Unknown,Unknown,Male,Please see Additional file 1 for translation of the abstract into Arabic.,1
2.0,1.0,Triple Helix,04 June 2015,https://link.springer.com/article/10.1186/s40604-015-0021-6,Organizational innovation: a comprehensive model for catalyzing organizational development and change in a rapidly changing world,December 2015,Annika Steiber,Sverker Alänge,,Female,Male,Unknown,Mix,,
2.0,1.0,Triple Helix,04 June 2015,https://link.springer.com/article/10.1186/s40604-015-0017-2,Relational capital for shared vision in innovation ecosystems,December 2015,Martha G Russell,Jukka Huhtamäki,Rahul C Basole,Female,Male,Male,Mix,,
2.0,1.0,Triple Helix,02 June 2015,https://link.springer.com/article/10.1186/s40604-015-0018-1,Science and Technology Parks: laboratories of innovation for urban development - an approach from Brazil,December 2015,Desiree Moraes Zouain,Guilherme Ary Plonski,,Female,Male,Unknown,Mix,,
2.0,1.0,Triple Helix,06 May 2015,https://link.springer.com/article/10.1186/s40604-015-0020-7,Intersectoral mobility of researchers in Russia: trends and policy measures,December 2015,Irina Dezhina,,,Female,Unknown,Unknown,Female,Please see Additional file 1 for translation of the Abstract into Arabic.,2
