Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Author 7,Author 8,Author 9,Author 10,Gender_Author 1,Gender_Author 2,Gender_Author 3,Gender_Author 4,Gender_Author 5,Gender_Author 6,Gender_Author 7,Gender_Author 8,Gender_Author 9,Gender_Author 10
1,1,Review of Evolutionary Political Economy,09 July 2020,https://link.springer.com/article/10.1007/s43253-020-00011-6,Towards an evolutionary political economy. Editorial to the inaugural issue of the Review of Evolutionary Political Economy REPE,May 2020,Silvano Cincotti,Wolfram Elsner,Engelbert Stockhammer,,,,,,,,Male,Male,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,1,Review of Evolutionary Political Economy,16 June 2020,https://link.springer.com/article/10.1007/s43253-020-00010-7,Institutional variety and the future of economics,May 2020,Smita Srinivas,,,,,,,,,,Female,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,1,Review of Evolutionary Political Economy,11 March 2020,https://link.springer.com/article/10.1007/s43253-020-00003-6,"The past, present and future of evolutionary macroeconomics",May 2020,Malcolm Sawyer,,,,,,,,,,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,1,Review of Evolutionary Political Economy,11 March 2020,https://link.springer.com/article/10.1007/s43253-020-00001-8,Gender and the future of macroeconomics: an evolutionary approach,May 2020,Sheila Dow,,,,,,,,,,Female,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,1,Review of Evolutionary Political Economy,23 April 2020,https://link.springer.com/article/10.1007/s43253-020-00009-0,Belief reversals as phase transitions and economic fragility: a complexity theory of financial cycles with reflexive agents,May 2020,John Davis,,,,,,,,,,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,1,Review of Evolutionary Political Economy,11 March 2020,https://link.springer.com/article/10.1007/s43253-020-00002-7,Was Hyman Minsky a post-Keynesian economist?,May 2020,Marc Lavoie,,,,,,,,,,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,1,Review of Evolutionary Political Economy,06 May 2020,https://link.springer.com/article/10.1007/s43253-020-00007-2,A value-theoretic approach to economic dynamics and evolution—synthesizing different Marxian modules in a simulation model,May 2020,Frank Beckenbach,,,,,,,,,,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,1,Review of Evolutionary Political Economy,27 May 2020,https://link.springer.com/article/10.1007/s43253-020-00015-2,Behavioral economics in the time of coronavirus: rebellion or “willful ignorance” in the face of “grand challenges”,May 2020,Pritika Rao,,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,2,Review of Evolutionary Political Economy,20 August 2020,https://link.springer.com/article/10.1007/s43253-020-00020-5,"The Review of Evolutionary Political Economy inaugural issue, part 2",August 2020,Silvano Cincotti,Wolfram Elsner,Engelbert Stockhammer,,,,,,,,Male,Male,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,2,Review of Evolutionary Political Economy,17 March 2020,https://link.springer.com/article/10.1007/s43253-020-00005-4,Financialisation and the periodisation of capitalism: appearances and processes,August 2020,Jan Toporowski,,,,,,,,,,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,2,Review of Evolutionary Political Economy,26 June 2020,https://link.springer.com/article/10.1007/s43253-020-00017-0,An evolutionary approach to international political economy: the case of corporate tax avoidance,August 2020,Ronen Peter Palan,,,,,,,,,,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,2,Review of Evolutionary Political Economy,12 March 2020,https://link.springer.com/article/10.1007/s43253-020-00006-3,Productivity and inequality in the UK: a political economy perspective,August 2020,Philip Arestis,,,,,,,,,,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,2,Review of Evolutionary Political Economy,25 June 2020,https://link.springer.com/article/10.1007/s43253-020-00018-z,"Reflections on the entrepreneurial state, innovation and social justice",August 2020,Theo Papaioannou,,,,,,,,,,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,2,Review of Evolutionary Political Economy,08 May 2020,https://link.springer.com/article/10.1007/s43253-020-00008-1,A value-theoretic approach to economic dynamics and evolution—synthesizing different Marxian modules in a simulation model,August 2020,Frank Beckenbach,,,,,,,,,,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,2,Review of Evolutionary Political Economy,11 August 2020,https://link.springer.com/article/10.1007/s43253-020-00019-y,"The 2019–2020 Australian bushfires: a potent mix of climate change, problematisation, indigenous disregard, a fractured federation, volunteerism, social media, and more",August 2020,Lynne Chester,,,,,,,,,,Female,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,2,Review of Evolutionary Political Economy,10 March 2020,https://link.springer.com/article/10.1007/s43253-020-00004-5,"Shiozawa, Yoshinori; Morioka, Masashi; Taniguchi, Kasuhisa: Microfoundations of Evolutionary Economics",August 2020,Marc Lavoie,,,,,,,,,,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,3,Review of Evolutionary Political Economy,11 December 2020,https://link.springer.com/article/10.1007/s43253-020-00023-2,"Editorial REPE Vol. I 2020, Issue 3",November 2020,Wolfram Elsner,,,,,,,,,,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,3,Review of Evolutionary Political Economy,27 November 2020,https://link.springer.com/article/10.1007/s43253-020-00030-3,"Planetary carambolage: The evolutionary political economy of technology, nature and work",November 2020,Katarzyna Gruszka,Manuel Scholz-Wäckerle,Ernest Aigner,,,,,,,,Female,Male,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,3,Review of Evolutionary Political Economy,08 December 2020,https://link.springer.com/article/10.1007/s43253-020-00031-2,"Correction to: Planetary carambolage: The evolutionary political economy of technology, nature and work",November 2020,K. Gruszka,M. Scholz-Wäckerle,E. Aigner,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,3,Review of Evolutionary Political Economy,13 May 2020,https://link.springer.com/article/10.1007/s43253-020-00012-5,Socialist alternatives to capitalism I: Marx to Hayek,November 2020,Duncan K. Foley,,,,,,,,,,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,3,Review of Evolutionary Political Economy,11 May 2020,https://link.springer.com/article/10.1007/s43253-020-00013-4,Socialist alternatives to capitalism II: Vienna to Santa Fe,November 2020,Duncan K. Foley,,,,,,,,,,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,3,Review of Evolutionary Political Economy,28 October 2020,https://link.springer.com/article/10.1007/s43253-020-00022-3,The productivity and unemployment effects of the digital transformation: an empirical and modelling assessment,November 2020,Filippo Bertani,Marco Raberto,Andrea Teglio,,,,,,,,Male,Male,Female,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,3,Review of Evolutionary Political Economy,08 May 2020,https://link.springer.com/article/10.1007/s43253-020-00014-3,Imaginary economies: the case of the 3D printer,November 2020,Jens Schröter,,,,,,,,,,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,3,Review of Evolutionary Political Economy,31 August 2020,https://link.springer.com/article/10.1007/s43253-020-00021-4,Electricity infrastructure and innovation in the next phase of energy transition—amendments to the technology innovation system framework,November 2020,Steffen S. Bettin,,,,,,,,,,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
