Volume,Issue,Link,Title,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Intro_check
1,1,https://link.springer.com/article/10.1007/BF00163340,Democracy and growth,Robert J. Barro,,,Male,,,Male,,0
1,1,https://link.springer.com/article/10.1007/BF00163341,"Economic development, growth of human capital, and the dynamics of the wage structure",Jacob Mincer,,,Male,,,Male,,0
1,1,https://link.springer.com/article/10.1007/BF00163342,Research and development in the growth process,Philippe Aghion,Peter Howitt,,Male,Male,,Male,,0
1,1,https://link.springer.com/article/10.1007/BF00163343,A theory of persistent income inequality,Steven N. Durlauf,,,Male,,,Male,,0
1,1,https://link.springer.com/article/10.1007/BF00163344,Convergence empirics across economies with (some) capital mobility,Danny T. Quah,,,Male,,,Male,,0
1,1,https://link.springer.com/article/10.1007/BF00163345,Social conflict and growth,Jess Benhabib,Aldo Rustichini,,Male,Male,,Male,,0
1,2,https://link.springer.com/article/10.1007/BF00138860,"Institutions and growth, an introductory essay",Robert J. Barro,,,Male,,,Male,,0
1,2,https://link.springer.com/article/10.1007/BF00138861,"Growth, income distribution, and democracy: What the data say",Roberto Perotti,,,Male,,,Male,,0
1,2,https://link.springer.com/article/10.1007/BF00138862,Political instability and economic growth,Alberto Alesina,Sule Özler,Phillip Swagel,Male,Female,Male,Mix,,0
1,2,https://link.springer.com/article/10.1007/BF00138863,"Power, growth, and the voracity effect",Philip R. Lane,Aaron Tornell,,Male,Male,,Male,,0
1,2,https://link.springer.com/article/10.1007/BF00138864,Property and contract rights in autocracies and democracies,Christopher Clague,Philip Keefer,Mancur Olson,Male,Male,Female,Mix,,0
1,2,https://link.springer.com/article/10.1007/BF00138865,A positive theory of social security,Xavier X. Sala-I-Martin,,,Male,,,Male,,0
1,3,https://link.springer.com/article/10.1007/BF00141041,"Private information, money, and growth: Indeterminacy, fluctuations, and the Mundell-Tobin effect",Costas Azariadis,Bruce D. Smith,,Male,Male,,Male,,0
1,3,https://link.springer.com/article/10.1007/BF00141042,Predation and accumulation,Herschel I. Grossman,Minseong Kim,,Male,Male,,Male,,0
1,3,https://link.springer.com/article/10.1007/BF00141043,Tests of the “convergence hypothesis”: Some further results,Daniel Cohen,,,Male,,,Male,,0
1,3,https://link.springer.com/article/10.1007/BF00141044,Reopening the convergence debate: A new look at cross-country growth empirics,Francesco Caselli,Gerardo Esquivel,Fernando Lefort,Male,Male,Male,Male,,0
1,3,https://link.springer.com/article/10.1007/BF00141045,Government interventions and productivity growth,Jong-Wha Lee,,,,,,Unknown,,0
1,4,https://link.springer.com/article/10.1007/BF00150196,"Free trade, factor returns, and factor accumulation",Nancy L. Stokey,,,Female,,,Female,,0
1,4,https://link.springer.com/article/10.1007/BF00150197,The economics of poverty traps part one: Complete markets,Costas Azariadis,,,Male,,,Male,,0
1,4,https://link.springer.com/article/10.1007/BF00150198,"Imperfect information, Bayesian learning, and capital accumulation",Graziella Bertocchi,Yong Wang,,Female,,,Female,,0
1,4,https://link.springer.com/article/10.1007/BF00150199,Redistribution and growth: Pareto improvements,Chien-Fu Chou,Gabriel Talmain,,Male,Male,,Male,,0
2,1,https://link.springer.com/article/10.1023/A:1009746629269,"Technological Diffusion, Convergence, and Growth",Robert J. Barro,Xavier Sala-i-Martin,,Male,Male,,Male,,0
2,1,https://link.springer.com/article/10.1023/A:1009781613339,"Empirics for Growth and Distribution: Stratification, Polarization, and Convergence Clubs",Danny T. Quah,,,Male,,,Male,,0
2,1,https://link.springer.com/article/10.1023/A:1009733730177,"Matching, Heterogeneity, and the Evolution of Income Distribution",Daron Acemoglu,,,Male,,,Male,,0
2,1,https://link.springer.com/article/10.1023/A:1009785714248,The Distribution of Human Capital and Economic Growth,Oded Galor,Daniel Tsiddon,,Male,Male,,Male,,0
2,2,https://link.springer.com/article/10.1023/A:1009762900799,Convergence Revisited,Charles I. Jones,,,Male,,,Male,,0
2,2,https://link.springer.com/article/10.1023/A:1009729117637,"Power, Distributive Conflicts, and Multiple Growth Paths",Gilles Saint Paul,Thierry Verdier,,Male,Male,,Male,,0
2,2,https://link.springer.com/article/10.1023/A:1009781101707,Democratic Choice of an Education System: Implications for Growth and Income Distribution,Mark Gradstein,Moshe Justman,,Male,Male,,Male,,0
2,2,https://link.springer.com/article/10.1023/A:1009733218546,The Transition from Stagnation to Growth: An Adaptive Learning Approach,Jasmina Arifovic,James Bullard,John Duffy,Female,Male,Male,Mix,,0
2,3,https://link.springer.com/article/10.1023/A:1009749908420,Economic Growth and Decline with Endogenous Property Rights,Aaron Tornell,,,Male,,,Male,,0
2,3,https://link.springer.com/article/10.1023/A:1009730825259,Exploitation and Growth,John McDermott,,,Male,,,Male,,0
2,3,https://link.springer.com/article/10.1023/A:1009782809329,Thy Neighbor's Curse: Regional Instability and Economic Growth,Alberto Ades,Hak B. Chua,,Male,,,Male,,0
2,3,https://link.springer.com/article/10.1023/A:1009734926167,Macrodynamic Implications of Income-Transfer Policies for Human Capital Investment and School Effort,Peter Orazem,Leigh Tesfatsion,,Male,,,Male,,0
2,4,https://link.springer.com/article/10.1023/A:1009740920294,Comparison Utility in a Growth Model,Christopher D. Carroll,Jody Overland,David N. Weil,Male,,Male,Male,,0
2,4,https://link.springer.com/article/10.1023/A:1009754704364,Technology and the Life Cycle of Cities,Elise S. Brezis,Paul R. Krugman,,Female,Male,,Mix,,0
2,4,https://link.springer.com/article/10.1023/A:1009706821203,Exploring Growth Trajectories,Guido Cozzi,,,Male,,,Male,,0
2,4,https://link.springer.com/article/10.1023/A:1009741426524,Location and the Growth of Nations,Ramon Moreno,Bharat Trehan,,Male,,,Male,,0
3,1,https://link.springer.com/article/10.1023/A:1009797314078,"Why Isn't Convergence Instantaneous? Young Workers, Old Workers, and Gradual Adjustment",Michael Kremer,James Thomson,,Male,Male,,Male,,0
3,1,https://link.springer.com/article/10.1023/A:1009769930916,"Demographic Transition, Income Distribution, and Economic Growth",Momi Dahan,Daniel Tsiddon,,Male,Male,,Male,,0
3,1,https://link.springer.com/article/10.1023/A:1009722031825,"Technological Change, Market Rivalry, and the Evolution of the Capitalist Engine of Growth",Pietro F. Peretto,,,Male,,,Male,,0
3,1,https://link.springer.com/article/10.1023/A:1009726115895,Schumpeterian Growth with Gradual Product Obsolescence,Edwin L.-C. Lai,,,Male,,,Male,,0
3,2,https://link.springer.com/article/10.1023/A:1009769717601,Capital Accumulation and Innovation as Complementary Factors in Long-Run Growth,Peter Howitt,Philippe Aghion,,Male,Male,,Male,,0
3,2,https://link.springer.com/article/10.1023/A:1009701518509,Investment-Specific R and D and the Decline in the Relative Price of Capital,Per Krusell,,,Male,,,Male,,0
3,2,https://link.springer.com/article/10.1023/A:1009705702579,"Free Trade, Growth, and Convergence",Dan Ben-David,Michael B. Loewy,,Male,Male,,Male,,0
3,2,https://link.springer.com/article/10.1023/A:1009757719418,A Positive Theory of Income Redistribution,Suzanne J. Cooper,,,Female,,,Female,,0
3,3,https://link.springer.com/article/10.1023/A:1009726004023,Growth States and Shocks,Richard Startz,,,Male,,,Male,,0
3,3,https://link.springer.com/article/10.1023/A:1009762720862,"Income Distribution, Redistributive Politics, and Economic Growth",Woojin Lee,John E. Roemer,,Male,Male,,Male,,0
3,3,https://link.springer.com/article/10.1023/A:1009714821770,Democracy and Growth: Alternative Approaches,Jenny A. Minier,,,Female,,,Female,,0
3,3,https://link.springer.com/article/10.1023/A:1009718905841,History and Coordination Failure,Alicia Adserà,Debraj Ray,,Female,Male,,Mix,,0
3,4,https://link.springer.com/article/10.1023/A:1009799405456,Technological Change and Population Growth,Pietro F. Peretto,,,Male,,,Male,,0
3,4,https://link.springer.com/article/10.1023/A:1009711822294,Schumpeterian Growth Without Scale Effects,Elias Dinopoulos,Peter Thompson,,Male,Male,,Male,,0
3,4,https://link.springer.com/article/10.1023/A:1009763906365,Economic Growth and Investment in Education: How Allocation Matters,Ruth Judson,,,Female,,,Female,,0
3,4,https://link.springer.com/article/10.1023/A:1009716023203,"Creative Destruction, Investment Volatility, and the Average Age of Capital",Raouf Boucekkine,Marc Germain,Alphonse Magnus,Male,Male,Male,Male,,0
4,1,https://link.springer.com/article/10.1023/A:1009833807671,Information Accumulation in Development,Daron Acemoglu,Fabrizio Zilibotti,,Male,Male,,Male,,0
4,1,https://link.springer.com/article/10.1023/A:1009874508579,Marshallian Externalities in Innovation,Morgan Kelly,Anya Hageman,,,Female,,Female,,0
4,1,https://link.springer.com/article/10.1023/A:1009878625417,Mercantilism and Modern Growth,John McDermott,,,Male,,,Male,,0
4,1,https://link.springer.com/article/10.1023/A:1009830709488,Economic Growth and Political Regimes,J. Benson Durham,,,Female,,,Female,,0
4,2,https://link.springer.com/article/10.1023/A:1009828704275,Notes on Growth Accounting,Robert J. Barro,,,Male,,,Male,,0
4,2,https://link.springer.com/article/10.1023/A:1009802421114,Stochastic Growth Models and Their Econometric Implications,Michael Binder,M. Hashem Pesaran,,Male,Male,,Male,,0
4,2,https://link.springer.com/article/10.1023/A:1009854405184,"Contract-Intensive Money: Contract Enforcement, Property Rights, and Economic Performance",Christopher Clague,Philip Keefer,Mancur Olson,Male,Male,Female,Mix,,0
4,2,https://link.springer.com/article/10.1023/A:1009806622022,"Entrepreneurs, Professionals, and Growth",Murat F. Iyigun,Ann L. Owen,,Male,Female,,Mix,,0
4,3,https://link.springer.com/article/10.1023/A:1009882702130,Life During Growth,William Easterly,,,Male,,,Male,,0
4,3,https://link.springer.com/article/10.1023/A:1009876618968,Why Do Resource-Abundant Economies Grow More Slowly?,Francisco Rodriguez,Jeffrey D. Sachs,,Male,Male,,Male,,0
4,3,https://link.springer.com/article/10.1023/A:1009858603947,Patterns of Economic Development and the Formation of Clubs,Alain Desdoigts,,,Male,,,Male,,0
4,3,https://link.springer.com/article/10.1023/A:1009884804855,"Endogenous Fertility, Income Distribution, and Growth",Olivier F. Morand,,,Male,,,Male,,0
4,4,https://link.springer.com/article/10.1023/A:1009888907797,Adjusting to a New Technology: Experience and Training,Elhanan Helpman,Antonio Rangel,,Male,Male,,Male,,0
4,4,https://link.springer.com/article/10.1023/A:1009863208706,"Where Did All the Growth Go? External Shocks, Social Conflict, and Growth Collapses",Dani Rodrik,,,Male,,,Male,,0
4,4,https://link.springer.com/article/10.1023/A:1009867409614,Convergence in a Two-Sector Nonscale Growth Model,Theo S. Eicher,Stephen J. Turnovsky,,Male,Male,,Male,,0
4,4,https://link.springer.com/article/10.1023/A:1009871510523,"R&D, Learning, and Phases of Economic Growth",Anders Sorensen,,,Male,,,Male,,0
5,1,https://link.springer.com/article/10.1023/A:1009850119329,Inequality and Growth in a Panel of Countries,Robert J. Barro,,,Male,,,Male,,0
5,1,https://link.springer.com/article/10.1023/A:1009874203400,Who Gives Foreign Aid to Whom and Why?,Alberto Alesina,David Dollar,,Male,Male,,Male,,0
5,1,https://link.springer.com/article/10.1023/A:1009826304308,Too Much of a Good Thing? The Economics of Investment in R&D,Charles I. Jones,John C. Williams,,Male,Male,,Male,,0
