Introduction,Author 1,Author 2,Author 3,Author 4,Author 5,Journal,Year,Citations,Gender_Author 1,Gender_Author 2,Gender_Author 3,Gender_Author 4,Gender_Author 5,Article_Gender
,August,Paige,Andrew,None,None,Resource and Energy Economics,"Volume 74, August 2023, 101376",0,male,unknown,male,,,Mix
,Paul,Felix,Philip,None,None,Resource and Energy Economics,"Volume 74, August 2023, 101386",0,male,male,male,,,Male
,Inge,Mauricio,None,None,None,Resource and Energy Economics,"Volume 74, August 2023, 101387",0,female,male,,,,Mix
,Bernd,Françeska,None,None,None,Resource and Energy Economics,"Volume 74, August 2023, 101388",0,male,unknown,,,,Mix
"1. IntroductionPolitical connections are of great interest for a firm that seeks an advantageous position among its competitors (Lin et al., 2011,Cingano and Pinotti, 2013,Feng et al., 2014). There has been a rich literature focusing on value added to politically connected firms (Chang and Wong, 2004,Faccio, 2006,Li et al., 2008,Goldman et al., 2009,Bourveau et al., 2016,Schoenherr, 2019). In addition to various preferential treatments involving resource allocation (Fisman, 2001,Cingano and Pinotti, 2013,Titl et al., 2021,Balán et al., 2022), other channels through which a firm’s political connection pays off may be less visible. These include relaxed regulatory oversight, avoidance of compliance measures, and many other channels (Niessen and Ruenzi, 2010,Duchin and Sosyura, 2012,Bourveau et al., 2016,Deng et al., 2019). However, a firm’s pursuit of benefits from political connection may result in enormous social costs, which sometimes might even trigger increased loss of life (Fisman and Wang, 2015,Jia and Nie, 2017). This study explores a new dimension of the negative social impacts of political connections through investigating pollution emissions from politically connected firms. Arguably, in an institutional setting that employs political centralization and fiscal decentralization, local legislators are more tolerant of excess pollution since it implies a boost to the economy. This claim is especially valid for government officials in China during the period when their chance of promotion hinges heavily on the growth of the economy (Jia, 2017).This paper studies a sample of 689 listed firms during 1999–2010 to estimate the impact of political connectedness on listed firms’ pollution emissions in China. Our main finding suggests that firms with political connections are likely to gain regulatory protection from local governments and thus discharge more pollutants than their counterparts do. Specifically, we find that, ceteris paribus, a polluting firm with political connections would emit on average 25% more Chemical Oxygen Demand (COD)1per 10,000 RMB worth of total output. We define a listed firm as politically connected if its top managers (i.e., chairman and/or CEO) used to hold or currently hold a position in the government, National People’s Congress (NPC), and/or Chinese People’s Political Consultative Conference (CPPCC) during a certain period of the study timeframe. We exploit variations in the turnover of top managers with political connections within firms and across time to identify the empirical relationship between political connection and firms’ pollution emissions. Our estimations remain robust when we further include linear temporal trends at both the provincial and industrial levels. We further employ an event study approach to examine how the impact of political connections evolves over time.The primary concern regarding our identification strategy is that the matches of top managers with political connections and polluting firms are not random. A firm that anticipates more pollution emissions in the future may intentionally search for top managers with political connections. Though unbalanced, the extended length of our dataset allows us to observe multiple incidents of turnover of top managers within many firms, which offers additional variation in treatment status within a firm to identify the association between political connections and pollution emissions. We utilize a subsample of firms that have political connections over the course of consecutive years to study how the impacts of political connections evolve over time. The results indicate that the effect of political connections on pollution emissions may not be discernible initially and exhibits a rising trend from the second year of connected managers’ arrival. However, it remains insignificant until five to six years after connected top managers join the firm. This result deviates from the assumption that political connectedness confers an immediate impact (Khwaja and Mian, 2005,Duchin and Sosyura, 2012,Lehne et al., 2018), and partially alleviates the concern that politically connected managers join a firm that has prepared to increase its emission levels.To further validate the plausible exogenous impact of political connectedness, we add additional flexibility to the model by including identifiers for the initial few years right after connected top managers leave firms. We find that the impact of political connections on pollution emissions lingers one year after connected top managers are no longer in their positions, and the effect fades out thereafter. Adding identifiers for these lingering effects increases the estimate of the impact of the political connections by about ten percentage points. Those results support the thesis that polluting firms may enjoy the value of political connectedness for an extended period due to the mutual benefits for firms and local legislators who expect enhanced economic growth.In addition to COD, we also test the impact of political connectedness on firms’ emissions of ammonia nitrogen (NH3N) and sulfur dioxide (SO2), the other two critical industrial pollutants. However, we do not find a significant increase in those two pollutants when connected top managers join the firm. We provide two explanations for these results. First, ammonia nitrogen was not included in the national binding targets of pollution reduction during our study period. The impact of weakened regulatory oversight on a unregulated pollutant is therefore muted. Second, in contrast to water pollution, the damage and disamenity caused by air pollution are more visible to the public, which leads to reduced incentives for both connected firms and local regulators to build up channels for compliance avoidance.Our dataset contains detailed information on the political connectedness of listed firms’ top managers, including previous work locations, as well as class and type of governmental positions. We further explore the heterogeneous effects of political connections. In general, we find that the impacts of political connections on COD discharge are more pronounced for firms employing top managers who have previously worked in local government. We find similar results on firms with politically connected top managers who used to work in the same city (or province). We also show that our results remain robust when environmental policies become stringent and local officials have strong incentives to dampen pollution levels.An alternative explanation for our main finding is that unobserved managerial attributes and talents of connected top managers account for improved production, thereby resulting in elevated pollution discharges. To address this concern, we further test the impact of political connection on firms’ annual gross output, annual wastewater emissions, and the number of wastewater treatment facilities. We fail to find evidence for changes in firms’ production capacity and wastewater treatment capacity after connected top managers join. This set of results plausibly suggests a possible channel through which firms enjoy the value of political connections: Polluting firms choose to leave treatment units idle, lessening treatment costs but bringing about elevated pollution emissions. We argue that the direct value of political connectedness for a polluting firm is in reduced abatement costs due to weakened regulatory enforcement, which eventually results in increased environmental and social costs.Overall, this paper contributes to the literature that studies the value of political connections (Khwaja and Mian, 2005,Fisman and Svensson, 2007,Fan et al., 2008a,Li et al., 2008,Duchin and Sosyura, 2012,Amore and Bennedsen, 2013,Borisov et al., 2016,Heitz et al., 2021). Gauging the value of political connections between firms and government is of great interest in the fields of political economy and corporate finance.Fisman (2001)takes advantage of rumors about political figures to probe the impact of political connections on firms’ performance in Indonesia. The author finds that political connections account for a great portion of market values of most politically dependent firms.Goldman et al. (2009)investigate the political connections of the boards of directors of all S&P 500 companies and show a positive correlation between companies’ stock returns and political connections. Compared to those visible benefits of political connections,Heitz et al. (2021)explore relaxed enforcement and circumvention of regulations, which are less visible ways through which the benefits from political connections pay off.This study also contributes to another strand of the literature, which emphasizes the social cost side of political connectedness. Earlier studies have proposed theoretical bases to untangle the social costs and benefits of political rent-seeking by firms (Leff, 1964).Fisman and Wang (2015)document that the number of workplace deaths at politically connected firms is much higher than that at unconnected firms. Using data on public listed firms in France,Bertrand et al. (2018)find that politically connected CEOs would use firm resources to help connected politicians, even when the total benefits for the firm are not justifiable, resulting in elevated operating costs to connected firms. In addition to political connections between government officials and firms, connections between government officials at different ranks may also bring about economic inefficiency.Kahn et al. (2020)document that the site selection of industrial parks in China is influenced by political connections. The authors find that industrial parks built as the consequence of favorable political connections between city officials and provincial leaders generate lower economic benefits compared with those built based on considerations of local economic fundamentals.Moreover, this study adds empirical evidence to an emerging strand of literature on political connections and firms’ environmental behaviors in China.Zhang (2017)investigates the effect of political connections on firms’ engagement in corporate environmental responsibility, which is regarded as a beneficial business strategy. The author defines political connections by determining if the CEO of a company is a former or current government official, which is similar to our definition. While the paper does not examine the influence of political connections on firms’ pollution emissions directly, it concludes that political connections positively impact corporate environmental responsibility. The author argues that political connections enable companies to access government grants, subsidies, and tax reductions related to environmental protection, which in turn helps local governments to achieve their environmental objectives.Deng et al. (2019)investigate how the turnover of local government officials and a firm’s political connections affect pollution emissions. The study employs a 2SLS approach and finds that an increase in pollution discharge can be attributed to the appointment of newly promoted or transferred officials from the local area or other regions. Additionally, the study finds that political connections lead to a reduction in pollution discharge during the first year of the newly appointed officials’ tenure, which echoes our findings that the impact of political connections takes time to accumulate. Our work complements the paper by exploring variations in the entering and departing of top managers with political connections, and highlighting the rent-seeking behavior of politically connected firms.Finally, our study relates to a more recent paper byDeng et al. (2020), which investigates the relationship between political connections and pollution emissions by firms. The paper uses the birthplace information of local officials and top managers to construct the political connection variable. It employs a Pooled Ordinary Least Squares (POLS) model with fixed effects at the city and industry levels. While the study finds significant effects of political connections on COD and SO2emissions, there are concerns about endogeneity issues with their identification strategy and modeling approach. Our study utilizes more direct information, the political working experience of firms’ top managers, to analyze the impact of political connections. We also employ a more robust modeling approach that includes firm-level fixed effects and incorporates various linear trends across different provinces and industries. Our findings suggest that political connections lead to an increase in firms’ COD emissions, rather than SO2emissions. This disparity in results may also be due to differences in the study period. While the previous work focuses on the period after the release of the 11th Five-Year Plan, which brought significant changes in national environmental policies, our study extends the timeframe to include data before the 11th Five-Year Plan. We demonstrate that the positive impact of political connections on water pollution persists even when government officials have strong incentives to suppress pollution issues. Moreover, our study provides a comprehensive analysis of the heterogeneous effects of political connections on pollution emissions and provide direct evidence of the potential mechanism behind the impact of political connections on firms’ pollution emission.The manuscript proceeds as follows. Section2first provides a brief background on major political institutions, political connections, and industrial pollution emissions in China. This section also includes a descriptive analysis on the data. Section3introduces the identification strategy and discusses the results. Finally, Section4concludes.",Rui,Jiahuan,Chuan,None,None,Resource and Energy Economics,"Volume 74, August 2023, 101390",0,male,unknown,unknown,,,Mix
,Valeria,Marie-Charlotte,Joachim,Carine,None,Resource and Energy Economics,"Volume 74, August 2023, 101392",0,female,unknown,male,female,,Mix
,None,None,None,None,None,Resource and Energy Economics,"Volume 72, April 2023, 101367",0,,,,,,Unknown
,Liang,ZhongXiang,None,None,None,Resource and Energy Economics,"Volume 72, April 2023, 101355",2,unknown,unknown,,,,Mix
,Simon,Sophie,Hassan,None,None,Resource and Energy Economics,"Volume 72, April 2023, 101356",0,male,female,male,,,Mix
,Bocar,Raphael,None,None,None,Resource and Energy Economics,"Volume 72, April 2023, 101358",0,unknown,male,,,,Mix
,Wenbo,None,None,None,None,Resource and Energy Economics,"Volume 72, April 2023, 101360",0,unknown,,,,,Mix
,Quentin,Guy,None,None,None,Resource and Energy Economics,"Volume 72, April 2023, 101359",0,male,male,,,,Male
,Stefan,Céline,Subhrendu,None,None,Resource and Energy Economics,"Volume 72, April 2023, 101361",0,male,female,unknown,,,Mix
,Benjamin,None,None,None,None,Resource and Energy Economics,"Volume 72, April 2023, 101362",1,male,,,,,Male
,None,None,None,None,None,Resource and Energy Economics,"Volume 71, February 2023, 101350",0,,,,,,Unknown
,Yasuyuki,Yungho,Kenzo,None,None,Resource and Energy Economics,"Volume 71, February 2023, 101343",0,male,unknown,male,,,Mix
